
一、DCC通风设备
序号,轴位,区域,编号,宽度/m,高度/m,左右接,安装方式,数量/台,来源图纸
1,A/B轴,南区,DCC-F,3.50,2.30,,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
2,A/B轴,南区,DCC-F,3.50,2.30,右,,18,"X-HLP3-CR-F3-LAY-KEQP-02-002, X-HLP3-CR-F3-LAY-KEQP-03-002"
3,X/Y轴,北区,DCC-F,3.50,2.30,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
4,A/B轴,南区,DCC-F,3.50,2.30,左,,36,"X-HLP3-CR-B3-LAY-KEQP-04-001, X-HLP3-CR-F3-LAY-KEQP-02-002, X-HLP3-CR-PB6-LAY-KEQP-03-001 +1"
5,B/C轴,南区,DCC-F,3.50,2.30,左,,4,"X-HLP3-CR-PB6-LAY-KEQP-03-001, X-HLP3-CR-PB6A-LAY-KEQP-03-001"
6,X/Y轴,北区,DCC-F,3.50,2.30,左,,50,X-HLP3-CR-F3-LAY-KEQP-02-002
7,A/B轴,南区,DCC-F,2.00,1.80,,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
8,A/B轴,南区,DCC-F,2.00,2.30,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
9,X/Y轴,北区,DCC-F,2.00,2.60,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
10,A/B轴,南区,DCC-F*2,3.50,2.30,,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
11,A/B轴,南区,DCC-F*2,3.50,2.30,右,,4,X-HLP3-CR-F3-LAY-KEQP-02-002
12,A/B轴,南区,DCC-F*2,3.50,2.30,左,,5,X-HLP3-CR-F3-LAY-KEQP-02-002
13,X/Y轴,北区,DCC-F*2,3.50,2.30,左,,3,X-HLP3-CR-F3-LAY-KEQP-02-002
14,F/G轴,南区,DCC-E,2.85,2.60,右,,2,X-HLP3-CR-F3-LAY-KEQP-03-002
15,R/S轴,北中区,DCC-E,2.85,2.30,左,,4,X-HLP3-CR-F3-LAY-KEQP-02-002
16,R/S轴,北中区,DCC-E*2,2.85,2.30,左,,3,X-HLP3-CR-F3-LAY-KEQP-02-002
17,F/G轴,南区,DCC-D,2.40,0.60,右,,2,X-HLP3-CR-B3-LAY-KEQP-04-001
18,R/S轴,北中区,DCC-D*2,2.85,2.30,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
19,F/G轴,南区,DCC-D*2,2.40,0.60,左,,1,X-HLP3-CR-B3-LAY-KEQP-04-001
20,F/G轴,南区,DCC-C,2.85,1.80,右,,1,X-HLP3-CR-F3-LAY-KEQP-03-002
21,F/G轴,南区,DCC-C*2,2.85,1.80,右,,1,X-HLP3-CR-F3-LAY-KEQP-03-002
22,R/S轴,北中区,DCC-C*2,2.85,2.30,右,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
23,R/S轴,北中区,DCC-C*2,2.85,2.30,左,,11,X-HLP3-CR-F3-LAY-KEQP-02-002
24,R/S轴,北中区,DCC-C*2,2.85,1.80,左,,4,X-HLP3-CR-F3-LAY-KEQP-02-002
25,N/P轴,北中区,DCC-1,,,,,1,X-HLP3-CR-F3-LAY-KEQP-01-002
26,C/D轴,南区,DCC-3,3.60,0.50,,,2,"X-HLP3-CR-PB6-LAY-KEQP-03-001, X-HLP3-CR-PB6A-LAY-KEQP-03-001"
27,B/C轴,南区,DCC-3,,,,,2,"X-HLP3-CR-PB6-LAY-KEQP-03-001, X-HLP3-CR-PB6A-LAY-KEQP-03-001"
28,C/D轴,南区,DCC-3,,,,,4,"X-HLP3-CR-PB6-LAY-KEQP-03-001, X-HLP3-CR-PB6A-LAY-KEQP-03-001"
29,Y轴,北区,DCC-20,2.00,1.80,,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
30,A轴,南区,DCC-28,2.85,2.60,,,6,X-HLP3-CR-F3-LAY-KEQP-02-002
31,Y轴,北区,DCC-28,2.85,2.60,,,12,X-HLP3-CR-F3-LAY-KEQP-02-002
