一、DCC通风设备
序号,来源图纸,轴位,区域,编号,宽度/m,高度/m,左右接,安装方式,数量/台
1,X-HLP3-CR-F3-LAY-KEQP-02-002,,,DCC-F,3.50,2.30,,,1
2,X-HLP3-CR-F3-LAY-KEQP-02-002,,,DCC-F,3.50,2.30,右,,15
3,X-HLP3-CR-F3-LAY-KEQP-02-002,,,DCC-F,3.50,2.30,左,,80
4,X-HLP3-CR-F3-LAY-KEQP-02-002,,,DCC-F,2.00,2.30,左,,1
5,X-HLP3-CR-F3-LAY-KEQP-02-002,,,DCC-F,2.00,2.60,左,,1
6,X-HLP3-CR-F3-LAY-KEQP-02-002,,,DCC-F,1.20,2.20,,,1
7,X-HLP3-CR-F3-LAY-KEQP-02-002,,,DCC-F*2,3.50,2.30,,,2
8,X-HLP3-CR-F3-LAY-KEQP-02-002,,,DCC-F*2,3.50,2.30,右,,4
9,X-HLP3-CR-F3-LAY-KEQP-02-002,,,DCC-F*2,3.50,2.30,左,,8
10,X-HLP3-CR-F3-LAY-KEQP-02-002,,,DCC-E,2.85,2.60,右,,1
11,X-HLP3-CR-F3-LAY-KEQP-02-002,,,DCC-E,2.85,2.30,左,,4
12,X-HLP3-CR-F3-LAY-KEQP-02-002,,,DCC-E*2,2.85,2.30,左,,3
13,X-HLP3-CR-F3-LAY-KEQP-02-002,,,DCC-D*2,2.85,2.30,右,,1
14,X-HLP3-CR-F3-LAY-KEQP-02-002,,,DCC-D*2,2.85,2.30,左,,1
15,X-HLP3-CR-F3-LAY-KEQP-02-002,,,DCC-C*2,2.85,1.80,右,,4
16,X-HLP3-CR-F3-LAY-KEQP-02-002,,,DCC-C*2,2.85,2.30,右,,15
17,X-HLP3-CR-F3-LAY-KEQP-02-002,,,DCC-C*2,2.85,1.80,左,,4
18,X-HLP3-CR-F3-LAY-KEQP-02-002,,,DCC-C*2,2.85,2.30,左,,11
19,X-HLP3-CR-F3-LAY-KEQP-02-002,,,DCC-C*2,,,,,1
20,X-HLP3-CR-F3-LAY-KEQP-02-002,,,,2.85,1.80,,,18
21,X-HLP3-CR-F3-LAY-KEQP-02-002,,,,2.85,2.30,,,16
22,X-HLP3-CR-F3-LAY-KEQP-02-002,,,,2.85,2.60,,,6
23,X-HLP3-CR-F3-LAY-KEQP-02-002,,,,2.85,2.30,右,,1
24,X-HLP3-CR-F3-LAY-KEQP-02-002,,,,2.85,2.30,左,,2
25,X-HLP3-CR-B3-LAY-KEQP-04-001,,,,2.40,0.60,,,4
26,X-HLP3-CR-F3-LAY-KEQP-01-002,,,,2.40,0.80,,,5
27,X-HLP3-CR-B3-LAY-KEQP-04-001,,,,2.37,0.77,,,2
28,X-HLP3-CR-B3-LAY-KEQP-04-001,,,,2.37,0.96,,,2
29,X-HLP3-CR-F3-LAY-KEQP-02-002,,,,2.00,2.30,,,3
30,"X-HLP3-CR-B3-LAY-KEQP-04-001, X-HLP3-CR-F3-LAY-KEQP-01-002, X-HLP3-CR-F3-LAY-KEQP-02-002 +2",,,,,,,,108

二、DCC支架
序号,来源图纸,轴位,区域,编号,宽度/m,高度/m,左右接,安装方式,数量/台
31,,,,DCC-F,3.50,2.30,右,,7
32,,,,DCC-F,3.50,2.30,左,,36
33,,,,DCC-F,1.20,2.20,,,9
34,,,,DCC-F,,,,,1
35,,,,DCC-F*2,3.50,2.30,右,,3
36,,,,DCC-F*2,3.50,2.30,左,,3
37,,,,DCC-F*2,1.20,2.20,,,7
38,,,,DCC-F*2,,,,,1
39,,,,DCC-E,2.85,1.80,右,,1
40,,,,DCC-E,2.85,2.60,右,,14
41,,,,DCC-E*2,2.85,1.80,右,,7
42,,,,DCC-E*2,2.85,2.30,右,,5
43,,,,DCC-E*2,2.85,2.60,右,,31
44,,,,DCC-E*2,2.85,2.60,左,,3
45,,,,DCC-D,2.85,1.80,左,,1
46,,,,DCC-D,2.85,2.30,右,,35
47,,,,DCC-D,2.85,2.30,左,,2
48,,,,DCC-D*2,2.85,2.30,右,,29
49,,,,DCC-D*2,2.85,2.30,左,,3
50,,,,DCC-D*2,2.85,2.60,左,,1
51,,,,DCC-D*2,2.00,1.80,右,,1
52,,,,DCC-D*2,,,,,1
53,,,,DCC-C,2.85,1.80,右,,10
54,,,,DCC-C,2.85,1.80,左,,4
55,,,,DCC-C,2.85,2.30,右,,1
56,,,,DCC-C,2.85,2.60,右,,1
57,,,,DCC-C*2,2.85,1.80,右,,35
58,,,,DCC-C*2,2.85,1.80,左,,8
59,,,,DCC-C*2,2.85,2.30,右,,2
60,,,,DCC-C*2,2.85,2.30,左,,8
61,,,,DCC-C*2,2.85,2.60,右,,3
62,,,,DCC-C*2,2.00,2.60,右,,1
63,,,,DCC-B,2.85,2.30,右,,1
64,,,,DCC-B,2.85,1.80,右,,1
65,,,,DCC-B,2.00,2.30,右,,11
66,,,,DCC-B,2.00,2.30,左,,6
67,,,,DCC-B*2,2.85,1.80,右,,1
68,,,,DCC-B*2,2.00,2.30,右,,2
69,,,,DCC-A*2,2.00,1.80,左,,1
70,,,,DCC-J*2,2.00,2.60,右,,1
71,,,,,2.85,2.30,右,,26
72,,,,,2.85,2.30,左,,17
73,,,,,2.85,2.60,右,,1
74,,,,,2.85,1.80,右,,1
75,,,,,2.00,2.30,左,,1
76,,,,,2.00,1.80,右,,1
77,,,,,1.20,2.20,,,14
78,,,,,0.20,0.20,,,232
79,,,,,,,,,30

三、门
序号,来源图纸,类别,名称,规格,数量/樘
80,,检修门,MD2-1022,1000x2200,32
81,,门,单开门 1000X2000,"2000x0, 1000x2000",28
82,,门,泄爆门 - TXBM1530_A_-2590355-LAY-1F-1_500-A,,19
83,,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703329-LAY-1F-1_500-A,,15
84,,双扇防火门,双扇平开防火门_带观察窗 - FM甲2530-4642848-LAY-1F-1_500-A,,14
85,,检修门,MD1-1222,1200x2200,14
86,,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703327-LAY-1F-1_500-A,,13
87,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642656-LAY-2F-1_500-A,,11
88,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642740-LAY-1F-1_500-A,,9
89,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1523-4642620-LAY-1F-1_500-A,,9
90,,门,单扇平开门1 - CCB1221-3601983-LAY-1F-1_500-A,,9
91,,门,双扇平开门-角度可调 - FM甲2427_160__-4689979-LAY-1F-1_500-A,,9
92,,门,单扇平开门1 - CCB1221-3602038-LAY-1F-1_500-A,,8
93,,门,坐便器带厕所隔断 内开门 - 坐便器带厕所隔断 内开门-V66-LAY-1F-1_500-A,,8
94,,DCC隔断/门,DCC-SEC-2300,2300x0,8
95,,单扇防火门,单扇平开防火门_带观察窗 - FM甲0821-4703382-LAY-1F-1_500-A,,7
96,,双扇防火门,双扇平开防火门_带观察窗 - FM甲2430-4642638-LAY-1F-1_500-A,,7
97,,双扇防火门,双扇平开防火门_带观察窗 - FM甲3030-4643016-LAY-1F-1_500-A,,7
98,,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703358-LAY-1F-1_500-A,,6
99,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642656-LAY-1F-1_500-A,,6
100,,门,坐便器带厕所隔断 内开门 - 坐便器带厕所隔断 内开门-V76-LAY-1F-1_500-A,,6
101,,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703356-LAY-2F-1_500-A,,6
102,,单扇防火门,单扇平开防火门_带观察窗 - FM甲0821-4703376-LAY-1F-1_500-A,,5
103,,门,双扇平开外门_带观察窗 - GM2430_A_-3857367-LAY-1F-1_500-A,,5
104,,门,双扇平开外门_带观察窗 - GM2430_A_-3863862-LAY-1F-1_500-A,,5
105,,门,双扇平开门-角度可调 - FM甲2427_160__-4689997-LAY-1F-1_500-A,,5
106,,门,栅栏门 - AM1030-V69-LAY-1F-1_500-A,,5
107,,单扇防火门,单扇平开防火门_带观察窗 - FM乙1123-4703410-LAY-2F-1_500-A,,5
108,,单扇防火门,单扇平开防火门_带观察窗 - FM乙1123-V3-LAY-4F-1_500-A,,5
109,,双扇防火门,双扇平开防火门_带观察窗 - QM1523-4721500-LAY-4F-1_500-A,,5
110,,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703325-LAY-1F-1_500-A,,4
111,,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703356-LAY-1F-1_500-A,,4
112,,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703391-LAY-1F-1_500-A,,4
113,,单扇防火门,单扇平开防火门_带观察窗 - KBM1123-4703538-LAY-1F-1_500-A,,4
114,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642970-LAY-1F-1_500-A,,4
115,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1530-4642602-LAY-1F-1_500-A,,4
116,,双扇防火门,双扇平开防火门_带观察窗 - FM甲2530-4642914-LAY-1F-1_500-A,,4
117,,双扇防火门,双扇平开防火门_带观察窗 - FM甲2530-4644473-LAY-1F-1_500-A,,4
118,,门,坐便器带厕所隔断 内开门 - 坐便器带厕所隔断 内开门-3762917-LAY-1F-1_500-A,,4
119,,门,泄爆门 - TXBM4042_A_-4025048-LAY-1F-1_500-A,,4
120,,门,电梯门_客梯 - 2T洁净货梯-4055745-LAY-1F-1_500-A,,4
121,,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703329-LAY-2F-1_500-A,,4
122,,门,双扇平开门-角度可调 - FM甲2427_160__-4636703-LAY-2F-1_500-A,,4
123,,门,电梯门_客梯 - 2T洁净货梯-4055745-LAY-2F-1_500-A,,4
124,,单扇防火门,单扇平开防火门_带观察窗 - FM乙1123-V1-LAY-4F-1_500-A,,4
125,,DCC隔断/门,DIV-DOOR-1000Wx2200H,,4
126,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1530-4643303-LAY-1F-1_500-A,,3
127,,双扇防火门,双扇平开防火门_带观察窗 - FM甲2530-4644539-LAY-1F-1_500-A,,3
128,,门,单扇平开门1 - CCB1221-3601981-LAY-1F-1_500-A,,3
129,,门,双扇平开外门_带观察窗 - GM1530_A_-4118818-LAY-1F-1_500-A,,3
130,,门,双扇平开外门_带观察窗 - GM1530_A_-4335688-LAY-1F-1_500-A,,3
131,,门,双扇平开外门_带观察窗 - TFDM1530_A_-4566159-LAY-1F-1_500-A,,3
132,,门,栅栏门 - AM1030-V68-LAY-1F-1_500-A,,3
133,,门,泄爆门 - TXBM1530_A_-3805509-LAY-1F-1_500-A,,3
134,,单扇防火门,单扇平开防火门_带观察窗 - FM乙1123-4703350-LAY-2F-1_500-A,,3
135,,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703391-LAY-2F-1_500-A,,3
136,,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-V2-LAY-2F-1_500-A,,3
137,,单扇防火门,单扇平开防火门_带观察窗 - GM1123-4965399-LAY-2F-1_500-A,,3
138,,单扇防火门,单扇平开防火门_带观察窗 - FM乙1123-4703410-LAY-4F-1_500-A,,3
139,,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703356-LAY-4F-1_500-A,,3
140,,双扇防火门,双扇平开防火门_带观察窗 - QM1523-4721362-LAY-4F-1_500-A,,3
141,,单扇防火门,单扇平开防火门_带观察窗 - FM乙1123,,2
142,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1523,,2
143,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1523_3H_,,2
144,,门,DOR-2000,,2
145,,单扇防火门,单扇平开防火门_带观察窗 - FM甲0821-V64-LAY-1F-1_500-A,,2
146,,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703552-LAY-1F-1_500-A,,2
147,,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703562-LAY-1F-1_500-A,,2
148,,双扇防火门,双扇平开防火门_带观察窗 - FM乙1523-4643247-LAY-1F-1_500-A,,2
149,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642830-LAY-1F-1_500-A,,2
150,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642868-LAY-1F-1_500-A,,2
151,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4643343-LAY-1F-1_500-A,,2
152,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4644483-LAY-1F-1_500-A,,2
153,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1527-4643437-LAY-1F-1_500-A,,2
154,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1530-4643061-LAY-1F-1_500-A,,2
155,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1530-4643071-LAY-1F-1_500-A,,2
156,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1530-4644773-LAY-1F-1_500-A,,2
157,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1830-4643417-LAY-1F-1_500-A,,2
