
一、DCC通风设备
34,Y轴,北区,DCC2850x2300,2.85,2.30,,,16,X-HLP3-CR-F3-LAY-KEQP-02-002
35,Y轴,北区,DCC2850x1800,2.85,1.80,,,18,X-HLP3-CR-F3-LAY-KEQP-02-002
36,Y轴,北区,DCC2850x2600,2.85,2.60,,,6,X-HLP3-CR-F3-LAY-KEQP-02-002
37,G/H轴,南中区,DCC,2.85,2.30,右,,14,X-HLP3-CR-F3-LAY-KEQP-02-002
38,G/H轴,南中区,DCC,2.85,1.80,右,,5,X-HLP3-CR-F3-LAY-KEQP-02-002
39,G/H轴,南中区,DCC,2.85,2.60,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
40,T/U轴,北中区,DCC3523,2.85,2.30,右,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
41,T/U轴,北中区,DCC3523,2.85,2.30,左,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
42,H/J轴,南中区,DCC,2.40,0.80,,,1,X-HLP3-CR-F3-LAY-KEQP-01-002
43,Q/R轴,北中区,DCC,2.40,0.80,,,4,X-HLP3-CR-F3-LAY-KEQP-01-002
44,R/S轴,北中区,DCC,2.40,1.20,,,1,X-HLP3-CR-F3-LAY-KEQP-03-002
45,G/H轴,南中区,DCC,2.40,1.30,右,,9,X-HLP3-CR-F3-LAY-KEQP-01-002
46,G/H轴,南中区,DCC,2.40,1.20,右,,2,X-HLP3-CR-F3-LAY-KEQP-03-002
47,H/J轴,南中区,DCC,2.40,1.30,右,,4,X-HLP3-CR-F3-LAY-KEQP-01-002
48,J/K轴,南中区,DCC,2.40,1.30,右,,6,X-HLP3-CR-F3-LAY-KEQP-01-002
49,K/L轴,南中区,DCC,2.40,1.30,右,,6,X-HLP3-CR-F3-LAY-KEQP-01-002
50,L/M轴,北中区,DCC,2.40,1.30,右,,24,X-HLP3-CR-F3-LAY-KEQP-01-002
51,W/X轴,北区,DCC,2.40,1.30,右,,2,X-HLP3-CR-F3-LAY-KEQP-01-002
52,X/Y轴,北区,DCC,2.40,1.30,右,,3,X-HLP3-CR-F3-LAY-KEQP-01-002
53,B/C轴,南区,DCC,2.37,0.77,,,2,X-HLP3-CR-B3-LAY-KEQP-04-001
54,C/D轴,南区,DCC,2.37,0.77,,,1,X-HLP3-CR-B3-LAY-KEQP-04-001
55,D/E轴,南区,DCC,2.37,0.96,,,1,X-HLP3-CR-B3-LAY-KEQP-04-001
56,T/U轴,北中区,DCC3523,,,,,3,X-HLP3-CR-F3-LAY-KEQP-02-002
57,A轴,南区,DCC-2023,2.00,2.30,,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
58,Y轴,北区,DCC-2023,2.00,2.30,,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
59,D/E轴,南区,DCC-2365,3.60,0.50,,,2,X-HLP3-CR-B3-LAY-KEQP-04-001
60,C/D轴,南区,DCC-2365,2.37,0.96,,,1,X-HLP3-CR-B3-LAY-KEQP-04-001
61,C/D轴,南区,DCC-2365,,,,,1,X-HLP3-CR-B3-LAY-KEQP-04-001
62,D/E轴,南区,DCC-2365,,,,,3,X-HLP3-CR-B3-LAY-KEQP-04-001
63,K/L轴,南中区,DCC-2400,2.40,1.20,,,4,X-HLP3-CR-F3-LAY-KEQP-03-002
64,R/S轴,北中区,DCC-2400,2.40,1.20,,,1,X-HLP3-CR-F3-LAY-KEQP-03-002
65,S/T轴,北中区,DCC-2400,2.40,1.20,,,2,X-HLP3-CR-F3-LAY-KEQP-03-002
66,T/U轴,北中区,DCC-2400,2.40,1.20,,,4,X-HLP3-CR-F3-LAY-KEQP-03-002
67,U/V轴,北中区,DCC-2400,2.40,1.20,,,4,X-HLP3-CR-F3-LAY-KEQP-03-002
68,C/D轴,南区,DCC-2406,2.40,0.60,,,1,X-HLP3-CR-B3-LAY-KEQP-04-001
69,F/G轴,南区,DCC-2406,2.40,0.60,,,1,X-HLP3-CR-B3-LAY-KEQP-04-001

二、DCC支架
序号,轴位,区域,编号,宽度/m,高度/m,左右接,安装方式,数量/台,来源图纸
70,A/B轴,南区,DCC-F,3.50,2.30,左,,14,X-HLP3-CR-F3-LAY-KEQP-02-002
71,X/Y轴,北区,DCC-F,3.50,2.30,左,,26,X-HLP3-CR-F3-LAY-KEQP-02-002
72,A/B轴,南区,DCC-F,3.50,2.30,右,,7,X-HLP3-CR-F3-LAY-KEQP-02-002
73,X/Y轴,北区,DCC-F,1.20,2.20,,,11,X-HLP3-CR-F3-LAY-KEQP-02-002
74,A/B轴,南区,DCC-F,1.20,2.20,,,9,X-HLP3-CR-F3-LAY-KEQP-02-002
75,A/B轴,南区,DCC-F*2,3.50,2.30,右,,4,X-HLP3-CR-F3-LAY-KEQP-02-002
76,A/B轴,南区,DCC-F*2,3.50,2.30,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
77,X/Y轴,北区,DCC-F*2,3.50,2.30,左,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
78,A/B轴,南区,DCC-F*2,1.20,2.20,,,7,X-HLP3-CR-F3-LAY-KEQP-02-002
79,X/Y轴,北区,DCC-F*2,1.20,2.20,,,3,X-HLP3-CR-F3-LAY-KEQP-02-002
80,F/G轴,南区,DCC-E,2.85,2.60,右,,4,X-HLP3-CR-F3-LAY-KEQP-02-002
81,R/S轴,北中区,DCC-E,2.85,2.60,右,,10,X-HLP3-CR-F3-LAY-KEQP-02-002
82,F/G轴,南区,DCC-E,2.85,1.80,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
83,G/H轴,南中区,DCC-E,2.85,2.60,右,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
84,R/S轴,北中区,DCC-E*2,2.85,1.80,右,,3,X-HLP3-CR-F3-LAY-KEQP-02-002
85,R/S轴,北中区,DCC-E*2,2.85,2.60,右,,13,X-HLP3-CR-F3-LAY-KEQP-02-002
86,F/G轴,南区,DCC-E*2,2.85,2.60,左,,3,X-HLP3-CR-F3-LAY-KEQP-02-002
87,F/G轴,南区,DCC-E*2,2.85,2.30,右,,5,X-HLP3-CR-F3-LAY-KEQP-02-002
88,F/G轴,南区,DCC-E*2,2.85,2.60,右,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
89,G/H轴,南中区,DCC-E*2,2.85,1.80,右,,3,X-HLP3-CR-F3-LAY-KEQP-02-002
90,G/H轴,南中区,DCC-E*2,2.85,2.60,右,,6,X-HLP3-CR-F3-LAY-KEQP-02-002
91,R/S轴,北中区,DCC-E*2,2.85,2.30,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
92,Q/R轴,北中区,DCC-E*2,2.85,2.60,右,,11,X-HLP3-CR-F3-LAY-KEQP-02-002
93,Q/R轴,北中区,DCC-E*2,2.85,1.80,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
94,F/G轴,南区,DCC-D,2.85,2.30,右,,20,X-HLP3-CR-F3-LAY-KEQP-02-002
95,R/S轴,北中区,DCC-D,2.85,2.30,右,,12,X-HLP3-CR-F3-LAY-KEQP-02-002
96,F/G轴,南区,DCC-D,2.85,2.30,左,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
97,F/G轴,南区,DCC-D,2.85,1.80,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
98,G/H轴,南中区,DCC-D,2.85,2.30,右,,3,X-HLP3-CR-F3-LAY-KEQP-02-002
99,G/H轴,南中区,DCC-D,2.85,2.30,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
100,R/S轴,北中区,DCC-D*2,2.85,2.30,右,,15,X-HLP3-CR-F3-LAY-KEQP-02-002
101,F/G轴,南区,DCC-D*2,2.85,2.30,右,,15,X-HLP3-CR-F3-LAY-KEQP-02-002
102,F/G轴,南区,DCC-D*2,2.85,2.60,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
103,Q/R轴,北中区,DCC-D*2,2.85,2.30,左,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
104,G/H轴,南中区,DCC-D*2,2.85,2.30,右,,5,X-HLP3-CR-F3-LAY-KEQP-02-002
105,F/G轴,南区,DCC-D*2,2.85,2.30,左,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
106,R/S轴,北中区,DCC-D*2,2.00,1.80,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
107,R/S轴,北中区,DCC-D*2,,,,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
108,R/S轴,北中区,DCC-C,2.85,1.80,右,,6,X-HLP3-CR-F3-LAY-KEQP-02-002
109,F/G轴,南区,DCC-C,2.85,1.80,右,,4,X-HLP3-CR-F3-LAY-KEQP-02-002
110,F/G轴,南区,DCC-C,2.85,2.30,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
111,R/S轴,北中区,DCC-C,2.85,2.60,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
112,F/G轴,南区,DCC-C,2.85,1.80,左,,4,X-HLP3-CR-F3-LAY-KEQP-02-002
113,R/S轴,北中区,DCC-C*2,2.85,1.80,右,,18,X-HLP3-CR-F3-LAY-KEQP-02-002
114,G/H轴,南中区,DCC-C*2,2.85,1.80,右,,6,X-HLP3-CR-F3-LAY-KEQP-02-002
115,G/H轴,南中区,DCC-C*2,2.85,2.60,右,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
116,G/H轴,南中区,DCC-C*2,2.85,2.30,右,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
117,Q/R轴,北中区,DCC-C*2,2.85,1.80,右,,9,X-HLP3-CR-F3-LAY-KEQP-02-002
118,F/G轴,南区,DCC-C*2,2.85,1.80,右,,5,X-HLP3-CR-F3-LAY-KEQP-02-002
119,F/G轴,南区,DCC-C*2,2.85,1.80,左,,5,X-HLP3-CR-F3-LAY-KEQP-02-002
120,G/H轴,南中区,DCC-C*2,2.85,1.80,左,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
121,R/S轴,北中区,DCC-C*2,2.85,1.80,左,,3,X-HLP3-CR-F3-LAY-KEQP-02-002
122,F/G轴,南区,DCC-C*2,2.85,2.60,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
123,Q/R轴,北中区,DCC-C*2,2.00,2.60,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
124,R/S轴,北中区,DCC-C*2,2.00,1.80,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
125,G/H轴,南中区,DCC-B,2.85,2.30,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
126,F/G轴,南区,DCC-B,2.00,2.30,左,,4,X-HLP3-CR-F3-LAY-KEQP-02-002
127,Q/R轴,北中区,DCC-B,2.00,2.30,右,,6,X-HLP3-CR-F3-LAY-KEQP-02-002
128,G/H轴,南中区,DCC-B,2.00,2.30,右,,3,X-HLP3-CR-F3-LAY-KEQP-02-002
129,G/H轴,南中区,DCC-B,2.00,2.30,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
130,R/S轴,北中区,DCC-B,2.00,2.30,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
131,G/H轴,南中区,DCC-B,,,,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
132,R/S轴,北中区,DCC-B*2,2.85,1.80,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
133,F/G轴,南区,DCC-B*2,2.00,2.30,右,,4,X-HLP3-CR-F3-LAY-KEQP-02-002
134,G/H轴,南中区,DCC-J*2,2.00,2.60,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
135,G/H轴,南中区,DCC,2.85,2.30,右,,24,X-HLP3-CR-F3-LAY-KEQP-02-002
136,Q/R轴,北中区,DCC,2.85,2.30,左,,25,X-HLP3-CR-F3-LAY-KEQP-02-002
137,Q/R轴,北中区,DCC,2.85,2.30,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
138,G/H轴,南中区,DCC,2.85,2.60,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
139,G/H轴,南中区,DCC,2.85,1.80,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
140,F/G轴,南区,DCC,2.40,1.30,右,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
141,G/H轴,南中区,DCC,2.37,0.77,,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
142,Q/R轴,北中区,DCC,2.00,2.30,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
143,G/H轴,南中区,DCC,2.00,2.30,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
144,Q/R轴,北中区,DCC,2.00,2.30,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
145,G/H轴,南中区,DCC,2.00,2.30,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
146,Q/R轴,北中区,DCC,2.00,1.80,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
147,R/S轴,北中区,,,,,,3,X-HLP3-CR-F3-LAY-KEQP-02-002
148,F/G轴,南区,,,,,,1,X-HLP3-CR-F3-LAY-KEQP-02-002

三、门
序号,轴位,区域,类别,名称,规格,数量/樘,来源图纸
149,,,门,单开门 1000X2000,1000x2000,16,X-HLP3-CR-F3-LAY-KPART-03-002
150,,,门,泄爆门 - TXBM1530_A_-2590355-LAY-1F-1_500-A,3500x2300(左) DCC-F,15,X-HLP3-AR-F3-LAY-01-001
151,,,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703329-LAY-1F-1_500-A,,10,X-HLP3-AR-F3-LAY-01-001
152,,,门,双扇平开门-角度可调 - FM甲2427_160__-4689979-LAY-1F-1_500-A,,9,X-HLP3-AR-F3-LAY-01-001
153,,,门,单扇平开门1 - CCB1221-3601983-LAY-1F-1_500-A,,9,X-HLP3-AR-F3-LAY-01-001
154,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1523-4642620-LAY-1F-1_500-A,,8,X-HLP3-AR-F3-LAY-01-001
155,,,门,单扇平开门1 - CCB1221-3602038-LAY-1F-1_500-A,,8,X-HLP3-AR-F3-LAY-01-001
156,,,检修门,MD1-1222,MD 1200x2200 DCC-F,8,X-HLP3-CR-F3-LAY-KEQP-02-002
157,,,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703327-LAY-1F-1_500-A,,7,X-HLP3-AR-F3-LAY-01-001
158,,,单扇防火门,单扇平开防火门_带观察窗 - FM甲0821-4703382-LAY-1F-1_500-A,,7,X-HLP3-AR-F3-LAY-01-001
159,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲2530-4642848-LAY-1F-1_500-A,,6,X-HLP3-AR-F3-LAY-01-001
160,,,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703356-LAY-2F-1_500-A,,6,X-HLP3-AR-F3-LAY-02-001
161,,,检修门,MD2-1022,1000x2200 2850x2300(右) DCC-D*2,6,X-HLP3-CR-F3-LAY-KEQP-02-002
162,,,检修门,MD1-1222,MD 1200x2200 DCC-F*2,6,X-HLP3-CR-F3-LAY-KEQP-02-002
163,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲2430-4642638-LAY-1F-1_500-A,,5,X-HLP3-AR-F3-LAY-01-001
164,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲3030-4643016-LAY-1F-1_500-A,,5,X-HLP3-AR-F3-LAY-01-001
165,,,门,坐便器带厕所隔断 内开门 - 坐便器带厕所隔断 内开门-V66-LAY-1F-1_500-A,,5,X-HLP3-AR-F3-LAY-01-001
166,,,检修门,MD2-1022,1000x2200 2850x1800(右) DCC-C*2,5,X-HLP3-CR-F3-LAY-KEQP-02-002
167,,,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703358-LAY-1F-1_500-A,,4,X-HLP3-AR-F3-LAY-01-001
168,,,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703391-LAY-1F-1_500-A,,4,X-HLP3-AR-F3-LAY-01-001
169,,,单扇防火门,单扇平开防火门_带观察窗 - KBM1123-4703538-LAY-1F-1_500-A,3500x2300(右) DCC-F,4,X-HLP3-AR-F3-LAY-01-001
170,,,单扇防火门,单扇平开防火门_带观察窗 - FM甲0821-4703376-LAY-1F-1_500-A,,4,X-HLP3-AR-F3-LAY-01-001
171,,,单扇防火门,单扇平开防火门_带观察窗 - FM乙1123-4703410-LAY-2F-1_500-A,,4,X-HLP3-AR-F3-LAY-02-001
172,,,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703329-LAY-2F-1_500-A,,4,X-HLP3-AR-F3-LAY-02-001
173,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642656-LAY-2F-1_500-A,,4,X-HLP3-AR-F3-LAY-02-001
174,,,单扇防火门,单扇平开防火门_带观察窗 - FM乙1123-V3-LAY-4F-1_500-A,,4,X-HLP3-AR-F3-LAY-04-001
175,,,检修门,MD2-1022,1000x2200 2850x1800(左) DCC-C*2,4,X-HLP3-CR-F3-LAY-KEQP-02-002
176,,,门,单开门 1000X2000,1000x2000 2400x1300(右) DCC,4,"X-HLP3-CR-F3-LAY-KPART-01-002, X-HLP3-CR-F3-LAY-KPART-03-002"
177,,,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703327-LAY-1F-1_500-A,2850x2300(右) DCC-D,3,X-HLP3-AR-F3-LAY-01-001
178,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642740-LAY-1F-1_500-A,2000*2300(右) DCC-B,3,X-HLP3-AR-F3-LAY-01-001
179,,,门,单扇平开门1 - CCB1221-3601981-LAY-1F-1_500-A,,3,X-HLP3-AR-F3-LAY-01-001
180,,,门,双扇平开外门_带观察窗 - GM1530_A_-4335688-LAY-1F-1_500-A,,3,X-HLP3-AR-F3-LAY-01-001
181,,,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703325-LAY-1F-1_500-A,3500x2300(左) DCC-F,3,X-HLP3-AR-F3-LAY-01-001
182,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642970-LAY-1F-1_500-A,2850x2300(右) DCC-D,3,X-HLP3-AR-F3-LAY-01-001
183,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642740-LAY-1F-1_500-A,,3,X-HLP3-AR-F3-LAY-01-001
184,,,门,双扇平开门-角度可调 - FM甲2427_160__-4689997-LAY-1F-1_500-A,,3,X-HLP3-AR-F3-LAY-01-001
185,,,门,泄爆门 - TXBM4042_A_-4025048-LAY-1F-1_500-A,3500x2300(右) DCC-F,3,X-HLP3-AR-F3-LAY-01-001
186,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642656-LAY-1F-1_500-A,2850x1800(右) DCC-C*2,3,X-HLP3-AR-F3-LAY-01-001
187,,,门,坐便器带厕所隔断 内开门 - 坐便器带厕所隔断 内开门-3762917-LAY-1F-1_500-A,,3,X-HLP3-AR-F3-LAY-01-001
188,,,门,栅栏门 - AM1030-V68-LAY-1F-1_500-A,3500x2300(左) DCC-F,3,X-HLP3-AR-F3-LAY-01-001
189,,,门,栅栏门 - AM1030-V69-LAY-1F-1_500-A,3500x2300(右) DCC-F*2,3,X-HLP3-AR-F3-LAY-01-001
190,,,门,坐便器带厕所隔断 内开门 - 坐便器带厕所隔断 内开门-V76-LAY-1F-1_500-A,2850x1800(左) DCC-C*2,3,X-HLP3-AR-F3-LAY-01-001
191,,,门,坐便器带厕所隔断 内开门 - 坐便器带厕所隔断 内开门-V66-LAY-1F-1_500-A,2850x1800(左) DCC-C*2,3,X-HLP3-AR-F3-LAY-01-001
192,,,门,坐便器带厕所隔断 内开门 - 坐便器带厕所隔断 内开门-V76-LAY-1F-1_500-A,,3,X-HLP3-AR-F3-LAY-01-001
193,,,门,双扇平开外门_带观察窗 - TFDM1530_A_-4566159-LAY-1F-1_500-A,,3,X-HLP3-AR-F3-LAY-01-001
194,,,门,双扇平开门-角度可调 - FM甲2427_160__-4636703-LAY-2F-1_500-A,,3,X-HLP3-AR-F3-LAY-02-001
195,,,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703391-LAY-2F-1_500-A,,3,X-HLP3-AR-F3-LAY-02-001
196,,,单扇防火门,单扇平开防火门_带观察窗 - GM1123-4965399-LAY-2F-1_500-A,,3,X-HLP3-AR-F3-LAY-02-001
197,,,单扇防火门,单扇平开防火门_带观察窗 - FM乙1123-4703410-LAY-4F-1_500-A,,3,X-HLP3-AR-F3-LAY-04-001
198,,,单扇防火门,单扇平开防火门_带观察窗 - FM乙1123-V1-LAY-4F-1_500-A,,3,X-HLP3-AR-F3-LAY-04-001
199,,,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703356-LAY-4F-1_500-A,,3,X-HLP3-AR-F3-LAY-04-001
200,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1523_3H_-993714-4F,,2,X-HLP3-AR-B3-LAY-04-001
201,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1523-1158586-4F,3500x2300(左) DCC-F,2,X-HLP3-AR-B3-LAY-04-001
202,,,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703329-LAY-1F-1_500-A,2850x2300(左) DCC-D,2,X-HLP3-AR-F3-LAY-01-001
203,,,门,电梯门_客梯 - 2T洁净货梯-4055745-LAY-1F-1_500-A,,2,X-HLP3-AR-F3-LAY-01-001
204,,,门,电梯门_客梯 - 20T货梯-4055739-LAY-1F-1_500-A,,2,X-HLP3-AR-F3-LAY-01-001
205,,,双扇防火门,双扇平开防火门_带观察窗 - FM乙1523-4643247-LAY-1F-1_500-A,,2,X-HLP3-AR-F3-LAY-01-001
206,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1830-4643417-LAY-1F-1_500-A,,2,X-HLP3-AR-F3-LAY-01-001
207,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲2530_常开_-4643323-LAY-1F-1_500-A,,2,X-HLP3-AR-F3-LAY-01-001
208,,,门,双扇平开外门_带观察窗 - GM2430_A_-3857367-LAY-1F-1_500-A,3500x2300(左) DCC-F,2,X-HLP3-AR-F3-LAY-01-001
209,,,门,双扇平开外门_带观察窗 - GM2430_A_-3857367-LAY-1F-1_500-A,3500x2300(右) DCC-F,2,X-HLP3-AR-F3-LAY-01-001
210,,,门,双扇平开外门_带观察窗 - FM甲3030_A_-4207277-LAY-1F-1_500-A,3500x2300(左) DCC-F,2,X-HLP3-AR-F3-LAY-01-001
211,,,门,双扇平开外门_带观察窗 - FM甲3030_A_-4207425-LAY-1F-1_500-A,3500x2300(左) DCC-F,2,X-HLP3-AR-F3-LAY-01-001
212,,,门,门-上方带亮子 - GM1530_C_-4887983-LAY-1F-1_500-A,,2,X-HLP3-AR-F3-LAY-01-001
213,,,门,双扇平开外门_带观察窗 - GM1530_A_-4118818-LAY-1F-1_500-A,3500x2300(左) DCC-F,2,X-HLP3-AR-F3-LAY-01-001
214,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲2530-4642914-LAY-1F-1_500-A,2850x2300(右) DCC-D*2,2,X-HLP3-AR-F3-LAY-01-001
215,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4644483-LAY-1F-1_500-A,2850x1800(左) DCC-C*2,2,X-HLP3-AR-F3-LAY-01-001
216,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1530-4643303-LAY-1F-1_500-A,,2,X-HLP3-AR-F3-LAY-01-001
217,,,双扇防火门,双扇平开防火门_带观察窗 - KBM1824-4644501-LAY-1F-1_500-A,,2,X-HLP3-AR-F3-LAY-01-001
218,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲2530-4644473-LAY-1F-1_500-A,2850x1800(左) DCC-C*2,2,X-HLP3-AR-F3-LAY-01-001
