
一、DCC通风设备
序号,轴位,区域,编号,宽度/m,高度/m,左右接,安装方式,数量/台,来源图纸
1,A/B轴,南区,DCC-F,3.50,2.30,,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
2,A/B轴,南区,DCC-F,3.50,2.30,右,,15,X-HLP3-CR-F3-LAY-KEQP-02-002
3,X/Y轴,北区,DCC-F,3.50,2.30,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
4,A/B轴,南区,DCC-F,3.50,2.30,左,,34,"X-HLP3-CR-B3-LAY-KEQP-04-001, X-HLP3-CR-F3-LAY-KEQP-02-002, X-HLP3-CR-PB6-LAY-KEQP-03-001 +1"
5,X/Y轴,北区,DCC-F,3.50,2.30,左,,51,"X-HLP3-CR-F3-LAY-KEQP-01-002, X-HLP3-CR-F3-LAY-KEQP-02-002"
6,A/B轴,南区,DCC-F,2.40,1.20,右,,2,X-HLP3-CR-F3-LAY-KEQP-03-002
7,X/Y轴,北区,DCC-F,2.40,1.30,右,,2,X-HLP3-CR-F3-LAY-KEQP-01-002
8,A/B轴,南区,DCC-F,2.00,2.30,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
9,X/Y轴,北区,DCC-F,2.00,2.60,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
10,A/B轴,南区,DCC-F,1.20,2.20,,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
11,A/B轴,南区,DCC-F*2,3.50,2.30,,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
12,A/B轴,南区,DCC-F*2,3.50,2.30,右,,4,X-HLP3-CR-F3-LAY-KEQP-02-002
13,A/B轴,南区,DCC-F*2,3.50,2.30,左,,5,X-HLP3-CR-F3-LAY-KEQP-02-002
14,X/Y轴,北区,DCC-F*2,3.50,2.30,左,,3,X-HLP3-CR-F3-LAY-KEQP-02-002
15,G/H轴,南中区,DCC-E,2.85,2.60,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
16,R/S轴,北中区,DCC-E,2.85,2.30,左,,4,X-HLP3-CR-F3-LAY-KEQP-02-002
17,F/G轴,南区,DCC-E,2.40,1.20,右,,2,X-HLP3-CR-F3-LAY-KEQP-03-002
18,R/S轴,北中区,DCC-E*2,2.85,2.30,左,,3,X-HLP3-CR-F3-LAY-KEQP-02-002
19,G/H轴,南中区,DCC-E*2,2.40,1.30,右,,3,X-HLP3-CR-F3-LAY-KEQP-01-002
20,G/H轴,南中区,DCC-D*2,2.85,2.30,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
21,R/S轴,北中区,DCC-D*2,2.85,2.30,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
22,F/G轴,南区,DCC-C,2.40,1.20,右,,1,X-HLP3-CR-F3-LAY-KEQP-03-002
23,G/H轴,南中区,DCC-C,2.40,1.30,右,,3,X-HLP3-CR-F3-LAY-KEQP-01-002
24,G/H轴,南中区,DCC-C*2,2.85,2.30,右,,13,X-HLP3-CR-F3-LAY-KEQP-02-002
25,G/H轴,南中区,DCC-C*2,2.85,1.80,右,,4,X-HLP3-CR-F3-LAY-KEQP-02-002
26,R/S轴,北中区,DCC-C*2,2.85,2.30,右,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
27,R/S轴,北中区,DCC-C*2,2.85,2.30,左,,11,X-HLP3-CR-F3-LAY-KEQP-02-002
28,R/S轴,北中区,DCC-C*2,2.85,1.80,左,,4,X-HLP3-CR-F3-LAY-KEQP-02-002
29,F/G轴,南区,DCC-C*2,2.40,1.20,右,,1,X-HLP3-CR-F3-LAY-KEQP-03-002
30,G/H轴,南中区,DCC-C*2,2.40,1.30,右,,2,X-HLP3-CR-F3-LAY-KEQP-01-002
31,G/H轴,南中区,DCC-C*2,2.40,1.20,右,,2,X-HLP3-CR-F3-LAY-KEQP-03-002
32,G/H轴,南中区,DCC-C*2,,,,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
33,D/E轴,南区,,3.60,0.50,,,2,X-HLP3-CR-B3-LAY-KEQP-04-001
34,Y轴,北区,,2.85,2.30,,,16,X-HLP3-CR-F3-LAY-KEQP-02-002
