
一、DCC通风设备
序号,轴位,区域,编号,宽度/m,高度/m,左右接,安装方式,数量/台,来源图纸
1,A/B轴,南区,DCC-F,3.50,2.30,,,5,X-HLP3-CR-F3-LAY-KEQP-02-002
2,A/B轴,南区,DCC-F,3.50,2.30,右,,23,X-HLP3-CR-F3-LAY-KEQP-02-002
3,X/Y轴,北区,DCC-F,3.50,2.30,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
4,A/B轴,南区,DCC-F,3.50,2.30,左,,46,"X-HLP3-CR-B3-LAY-KEQP-04-001, X-HLP3-CR-F3-LAY-KEQP-02-002, X-HLP3-CR-PB6-LAY-KEQP-03-001 +1"
5,B/C轴,南区,DCC-F,3.50,2.30,左,,4,"X-HLP3-CR-PB6-LAY-KEQP-03-001, X-HLP3-CR-PB6A-LAY-KEQP-03-001"
6,X/Y轴,北区,DCC-F,3.50,2.30,左,,56,X-HLP3-CR-F3-LAY-KEQP-02-002
7,A/B轴,南区,DCC-F,2.40,1.20,右,,6,X-HLP3-CR-F3-LAY-KEQP-03-002
8,A/B轴,南区,DCC-F,2.00,1.80,,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
9,A/B轴,南区,DCC-F,2.00,2.30,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
10,X/Y轴,北区,DCC-F,2.00,2.60,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
11,R/S轴,北中区,DCC-E,2.85,2.30,左,,10,X-HLP3-CR-F3-LAY-KEQP-02-002
12,F/G轴,南区,DCC-E,2.40,1.20,右,,4,X-HLP3-CR-F3-LAY-KEQP-03-002
13,R/S轴,北中区,DCC-D,2.85,2.30,左,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
14,F/G轴,南区,DCC-D,2.40,0.60,右,,2,X-HLP3-CR-B3-LAY-KEQP-04-001
15,F/G轴,南区,DCC-D,2.40,0.60,左,,2,X-HLP3-CR-B3-LAY-KEQP-04-001
16,R/S轴,北中区,DCC-C,2.85,2.30,右,,4,X-HLP3-CR-F3-LAY-KEQP-02-002
17,R/S轴,北中区,DCC-C,2.85,2.30,左,,22,X-HLP3-CR-F3-LAY-KEQP-02-002
18,R/S轴,北中区,DCC-C,2.85,1.80,左,,8,X-HLP3-CR-F3-LAY-KEQP-02-002
19,F/G轴,南区,DCC-C,2.40,1.20,右,,6,X-HLP3-CR-F3-LAY-KEQP-03-002
20,N/P轴,北中区,DCC-1,,,,,1,X-HLP3-CR-F3-LAY-KEQP-01-002
21,C/D轴,南区,DCC-3,3.60,0.50,,,2,"X-HLP3-CR-PB6-LAY-KEQP-03-001, X-HLP3-CR-PB6A-LAY-KEQP-03-001"
22,B/C轴,南区,DCC-3,,,,,2,"X-HLP3-CR-PB6-LAY-KEQP-03-001, X-HLP3-CR-PB6A-LAY-KEQP-03-001"
23,C/D轴,南区,DCC-3,,,,,4,"X-HLP3-CR-PB6-LAY-KEQP-03-001, X-HLP3-CR-PB6A-LAY-KEQP-03-001"
24,Y轴,北区,DCC-20,2.00,1.80,,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
25,A轴,南区,DCC-28,2.85,2.60,,,5,X-HLP3-CR-F3-LAY-KEQP-02-002
26,Y轴,北区,DCC-28,2.85,2.60,,,12,X-HLP3-CR-F3-LAY-KEQP-02-002
27,D/E轴,南区,DCC,3.60,0.50,,,4,"X-HLP3-CR-B3-LAY-KEQP-04-001, X-HLP3-CR-PB6-LAY-KEQP-03-001, X-HLP3-CR-PB6A-LAY-KEQP-03-001"
28,T/U轴,北中区,DCC3523,3.50,2.30,,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
29,T/U轴,北中区,DCC3523,3.50,2.30,右,,3,X-HLP3-CR-F3-LAY-KEQP-02-002
30,T/U轴,北中区,DCC3523,3.50,2.30,左,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
31,X/Y轴,北区,DCC,3.50,2.30,左,,1,X-HLP3-CR-F3-LAY-KEQP-01-002
32,Y轴,北区,DCC2850x2300,2.85,2.30,,,16,X-HLP3-CR-F3-LAY-KEQP-02-002
33,Y轴,北区,DCC2850x1800,2.85,1.80,,,18,X-HLP3-CR-F3-LAY-KEQP-02-002
34,Y轴,北区,DCC2850x2600,2.85,2.60,,,6,X-HLP3-CR-F3-LAY-KEQP-02-002
35,G/H轴,南中区,DCC,2.85,2.30,右,,14,X-HLP3-CR-F3-LAY-KEQP-02-002
36,G/H轴,南中区,DCC,2.85,1.80,右,,5,X-HLP3-CR-F3-LAY-KEQP-02-002
37,G/H轴,南中区,DCC,2.85,2.60,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
38,H/J轴,南中区,DCC,2.40,0.80,,,1,X-HLP3-CR-F3-LAY-KEQP-01-002
39,Q/R轴,北中区,DCC,2.40,0.80,,,4,X-HLP3-CR-F3-LAY-KEQP-01-002
40,R/S轴,北中区,DCC,2.40,1.20,,,4,X-HLP3-CR-F3-LAY-KEQP-03-002
41,G/H轴,南中区,DCC,2.40,1.30,右,,9,X-HLP3-CR-F3-LAY-KEQP-01-002
42,G/H轴,南中区,DCC,2.40,1.20,右,,4,X-HLP3-CR-F3-LAY-KEQP-03-002
43,H/J轴,南中区,DCC,2.40,1.30,右,,4,X-HLP3-CR-F3-LAY-KEQP-01-002
44,J/K轴,南中区,DCC,2.40,1.30,右,,6,X-HLP3-CR-F3-LAY-KEQP-01-002
45,K/L轴,南中区,DCC,2.40,1.30,右,,6,X-HLP3-CR-F3-LAY-KEQP-01-002
46,K/L轴,南中区,DCC,2.40,1.20,右,,2,X-HLP3-CR-F3-LAY-KEQP-03-002
47,L/M轴,北中区,DCC,2.40,1.30,右,,24,X-HLP3-CR-F3-LAY-KEQP-01-002
48,W/X轴,北区,DCC,2.40,1.30,右,,2,X-HLP3-CR-F3-LAY-KEQP-01-002
49,X/Y轴,北区,DCC,2.40,1.30,右,,3,X-HLP3-CR-F3-LAY-KEQP-01-002
50,B/C轴,南区,DCC,2.37,0.77,,,2,X-HLP3-CR-B3-LAY-KEQP-04-001
51,C/D轴,南区,DCC,2.37,0.96,,,1,X-HLP3-CR-B3-LAY-KEQP-04-001
52,C/D轴,南区,DCC,2.37,0.77,,,1,X-HLP3-CR-B3-LAY-KEQP-04-001
53,D/E轴,南区,DCC,2.37,0.96,,,1,X-HLP3-CR-B3-LAY-KEQP-04-001
54,A轴,南区,DCC-2023,2.00,2.30,,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
55,Y轴,北区,DCC-2023,2.00,2.30,,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
56,D/E轴,南区,DCC-2365,3.60,0.50,,,3,X-HLP3-CR-B3-LAY-KEQP-04-001
57,C/D轴,南区,DCC-2365,2.37,0.96,,,1,X-HLP3-CR-B3-LAY-KEQP-04-001
58,D/E轴,南区,DCC-2365,2.37,0.96,,,1,X-HLP3-CR-B3-LAY-KEQP-04-001
59,K/L轴,南中区,DCC-2400,2.40,1.20,,,6,X-HLP3-CR-F3-LAY-KEQP-03-002
60,S/T轴,北中区,DCC-2400,2.40,1.20,,,4,X-HLP3-CR-F3-LAY-KEQP-03-002
61,T/U轴,北中区,DCC-2400,2.40,1.20,,,8,X-HLP3-CR-F3-LAY-KEQP-03-002
62,U/V轴,北中区,DCC-2400,2.40,1.20,,,8,X-HLP3-CR-F3-LAY-KEQP-03-002
63,C/D轴,南区,DCC-2406,2.40,0.60,,,1,X-HLP3-CR-B3-LAY-KEQP-04-001

二、DCC支架
序号,轴位,区域,编号,宽度/m,高度/m,左右接,安装方式,数量/台,来源图纸
64,A/B轴,南区,DCC-F,3.50,2.30,左,,16,X-HLP3-CR-F3-LAY-KEQP-02-002
65,X/Y轴,北区,DCC-F,3.50,2.30,左,,30,X-HLP3-CR-F3-LAY-KEQP-02-002
66,A/B轴,南区,DCC-F,3.50,2.30,右,,15,X-HLP3-CR-F3-LAY-KEQP-02-002
67,X/Y轴,北区,DCC-F,1.20,2.20,,,17,X-HLP3-CR-F3-LAY-KEQP-02-002
68,A/B轴,南区,DCC-F,1.20,2.20,,,23,X-HLP3-CR-F3-LAY-KEQP-02-002
69,R/S轴,北中区,DCC-E,2.85,1.80,右,,6,X-HLP3-CR-F3-LAY-KEQP-02-002
70,F/G轴,南区,DCC-E,2.85,1.80,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
71,G/H轴,南中区,DCC-E,2.85,1.80,右,,6,X-HLP3-CR-F3-LAY-KEQP-02-002
72,Q/R轴,北中区,DCC-E,2.85,1.80,右,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
73,F/G轴,南区,DCC-E,2.85,2.60,右,,8,X-HLP3-CR-F3-LAY-KEQP-02-002
74,R/S轴,北中区,DCC-E,2.85,2.60,右,,36,X-HLP3-CR-F3-LAY-KEQP-02-002
75,G/H轴,南中区,DCC-E,2.85,2.60,右,,14,X-HLP3-CR-F3-LAY-KEQP-02-002
76,Q/R轴,北中区,DCC-E,2.85,2.60,右,,22,X-HLP3-CR-F3-LAY-KEQP-02-002
77,F/G轴,南区,DCC-E,2.85,2.60,左,,6,X-HLP3-CR-F3-LAY-KEQP-02-002
78,F/G轴,南区,DCC-E,2.85,2.30,右,,10,X-HLP3-CR-F3-LAY-KEQP-02-002
79,R/S轴,北中区,DCC-E,2.85,2.30,右,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
80,F/G轴,南区,DCC-D,2.85,2.30,右,,50,X-HLP3-CR-F3-LAY-KEQP-02-002
81,R/S轴,北中区,DCC-D,2.85,2.30,右,,44,X-HLP3-CR-F3-LAY-KEQP-02-002
82,G/H轴,南中区,DCC-D,2.85,2.30,右,,13,X-HLP3-CR-F3-LAY-KEQP-02-002
83,F/G轴,南区,DCC-D,2.85,2.30,左,,6,X-HLP3-CR-F3-LAY-KEQP-02-002
84,Q/R轴,北中区,DCC-D,2.85,2.30,左,,4,X-HLP3-CR-F3-LAY-KEQP-02-002
85,G/H轴,南中区,DCC-D,2.85,2.30,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
86,F/G轴,南区,DCC-D,2.85,2.60,左,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
87,F/G轴,南区,DCC-D,2.85,1.80,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
88,R/S轴,北中区,DCC-D,2.00,1.80,右,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
89,R/S轴,北中区,DCC-C,2.85,1.80,右,,39,X-HLP3-CR-F3-LAY-KEQP-02-002
90,G/H轴,南中区,DCC-C,2.85,1.80,右,,12,X-HLP3-CR-F3-LAY-KEQP-02-002
91,Q/R轴,北中区,DCC-C,2.85,1.80,右,,18,X-HLP3-CR-F3-LAY-KEQP-02-002
92,F/G轴,南区,DCC-C,2.85,1.80,右,,14,X-HLP3-CR-F3-LAY-KEQP-02-002
93,G/H轴,南中区,DCC-C,2.85,2.60,右,,4,X-HLP3-CR-F3-LAY-KEQP-02-002
94,R/S轴,北中区,DCC-C,2.85,2.60,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
95,F/G轴,南区,DCC-C,2.85,2.60,右,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
96,G/H轴,南中区,DCC-C,2.85,2.30,右,,4,X-HLP3-CR-F3-LAY-KEQP-02-002
97,F/G轴,南区,DCC-C,2.85,2.30,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
98,F/G轴,南区,DCC-C,2.85,1.80,左,,14,X-HLP3-CR-F3-LAY-KEQP-02-002
99,G/H轴,南中区,DCC-C,2.85,1.80,左,,4,X-HLP3-CR-F3-LAY-KEQP-02-002
100,R/S轴,北中区,DCC-C,2.85,1.80,左,,6,X-HLP3-CR-F3-LAY-KEQP-02-002
101,Q/R轴,北中区,DCC-C,2.00,2.60,右,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
102,R/S轴,北中区,DCC-C,2.00,1.80,右,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
103,R/S轴,北中区,DCC-B,2.85,1.80,右,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
104,G/H轴,南中区,DCC-B,2.85,2.30,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
105,F/G轴,南区,DCC-B,2.00,2.30,右,,10,X-HLP3-CR-F3-LAY-KEQP-02-002
106,Q/R轴,北中区,DCC-B,2.00,2.30,右,,6,X-HLP3-CR-F3-LAY-KEQP-02-002
107,G/H轴,南中区,DCC-B,2.00,2.30,右,,4,X-HLP3-CR-F3-LAY-KEQP-02-002
108,F/G轴,南区,DCC-B,2.00,2.30,左,,4,X-HLP3-CR-F3-LAY-KEQP-02-002
109,G/H轴,南中区,DCC-B,2.00,2.30,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
110,R/S轴,北中区,DCC-B,2.00,2.30,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
111,G/H轴,南中区,DCC-J,2.00,2.60,右,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
112,G/H轴,南中区,DCC,2.85,2.30,右,,24,X-HLP3-CR-F3-LAY-KEQP-02-002
113,Q/R轴,北中区,DCC,2.85,2.30,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
114,Q/R轴,北中区,DCC,2.85,2.30,左,,25,X-HLP3-CR-F3-LAY-KEQP-02-002
115,G/H轴,南中区,DCC,2.85,2.60,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
116,G/H轴,南中区,DCC,2.85,1.80,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
117,F/G轴,南区,DCC,2.40,1.30,右,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
118,G/H轴,南中区,DCC,2.37,0.77,,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
119,Q/R轴,北中区,DCC,2.00,2.30,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
120,G/H轴,南中区,DCC,2.00,2.30,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
121,Q/R轴,北中区,DCC,2.00,2.30,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
122,G/H轴,南中区,DCC,2.00,2.30,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
123,Q/R轴,北中区,DCC,2.00,1.80,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002

三、门
序号,轴位,区域,类别,名称,规格,数量/樘,来源图纸
124,,,门,泄爆门 - TXBM1530_A_-2590355-LAY-1F-1_500-A,3500x2300(左) DCC-F,15,X-HLP3-AR-F3-LAY-01-001
125,,,门,单扇平开门1 - CCB1221-3601983-LAY-1F-1_500-A,,9,X-HLP3-AR-F3-LAY-01-001
126,,,门,单扇平开门1 - CCB1221-3602038-LAY-1F-1_500-A,,8,X-HLP3-AR-F3-LAY-01-001
127,,,检修门,MD1-1222,MD 1200x2200 DCC-F,8,X-HLP3-CR-F3-LAY-KEQP-02-002
128,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1523-4642620-LAY-1F-1_500-A,,6,X-HLP3-AR-F3-LAY-01-001
129,,,检修门,MD2-1022,1000x2200 2850x2300(右) DCC-D*2,6,X-HLP3-CR-F3-LAY-KEQP-02-002
130,,,检修门,MD1-1222,MD 1200x2200 DCC-F*2,6,X-HLP3-CR-F3-LAY-KEQP-02-002
131,,,门,单开门 1000X2000,1000x2000 2400x1300(右) DCC,6,"X-HLP3-CR-F3-LAY-KPART-01-002, X-HLP3-CR-F3-LAY-KPART-03-002"
132,,,门,单开门 1000X2000,1000x2000,6,X-HLP3-CR-F3-LAY-KPART-03-002
