
一、DCC通风设备
序号,轴位,区域,编号,宽度/m,高度/m,左右接,安装方式,数量/台,来源图纸
1,A/B轴,南区,DCC-F,3.50,2.30,,,5,X-HLP3-CR-F3-LAY-KEQP-02-002
2,A/B轴,南区,DCC-F,3.50,2.30,右,,23,X-HLP3-CR-F3-LAY-KEQP-02-002
3,X/Y轴,北区,DCC-F,3.50,2.30,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
4,A/B轴,南区,DCC-F,3.50,2.30,左,,39,X-HLP3-CR-F3-LAY-KEQP-02-002
5,X/Y轴,北区,DCC-F,3.50,2.30,左,,57,X-HLP3-CR-F3-LAY-KEQP-02-002
6,A/B轴,南区,DCC-F,2.85,2.60,,,3,X-HLP3-CR-F3-LAY-KEQP-02-002
7,A/B轴,南区,DCC-F,2.85,1.80,,,7,X-HLP3-CR-F3-LAY-KEQP-02-002
8,X/Y轴,北区,DCC-F,2.85,2.60,,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
9,X/Y轴,北区,DCC-F,2.85,1.80,,,10,X-HLP3-CR-F3-LAY-KEQP-02-002
10,A/B轴,南区,DCC-F,2.85,1.80,右,,15,X-HLP3-CR-F3-LAY-KEQP-02-002
11,A/B轴,南区,DCC-F,2.85,2.60,右,,8,X-HLP3-CR-F3-LAY-KEQP-02-002
12,A/B轴,南区,DCC-F,2.85,1.80,左,,7,X-HLP3-CR-F3-LAY-KEQP-02-002
13,A/B轴,南区,DCC-F,2.85,2.60,左,,9,X-HLP3-CR-F3-LAY-KEQP-02-002
14,X/Y轴,北区,DCC-F,2.85,1.80,左,,21,X-HLP3-CR-F3-LAY-KEQP-02-002
15,X/Y轴,北区,DCC-F,2.85,2.60,左,,8,X-HLP3-CR-F3-LAY-KEQP-02-002
16,A/B轴,南区,DCC-F,2.40,1.20,右,,6,X-HLP3-CR-F3-LAY-KEQP-03-002
17,A/B轴,南区,DCC-F,2.00,1.80,,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
18,A/B轴,南区,DCC-F,2.00,2.30,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
19,X/Y轴,北区,DCC-F,2.00,2.30,左,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
20,X/Y轴,北区,DCC-F,2.00,2.60,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
21,P/Q轴,北中区,DCC-E,2.85,1.80,右,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
22,Q/R轴,北中区,DCC-E,2.85,1.80,右,,6,X-HLP3-CR-F3-LAY-KEQP-02-002
23,R/S轴,北中区,DCC-E,2.85,2.30,左,,10,X-HLP3-CR-F3-LAY-KEQP-02-002
24,F/G轴,南区,DCC-E,2.40,1.20,右,,4,X-HLP3-CR-F3-LAY-KEQP-03-002
25,F/G轴,南区,DCC-D,2.85,2.30,右,,25,X-HLP3-CR-F3-LAY-KEQP-02-002
26,G/H轴,南中区,DCC-D,2.85,2.30,右,,8,X-HLP3-CR-F3-LAY-KEQP-02-002
27,R/S轴,北中区,DCC-D,2.85,2.30,右,,29,X-HLP3-CR-F3-LAY-KEQP-02-002
28,F/G轴,南区,DCC-D,2.85,2.30,左,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
29,G/H轴,南中区,DCC-D,2.85,2.30,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
30,R/S轴,北中区,DCC-D,2.85,2.30,左,,6,X-HLP3-CR-F3-LAY-KEQP-02-002
31,R/S轴,北中区,DCC-C,2.85,2.30,右,,4,X-HLP3-CR-F3-LAY-KEQP-02-002
32,F/G轴,南区,DCC-C,2.85,1.80,左,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
33,R/S轴,北中区,DCC-C,2.85,2.30,左,,22,X-HLP3-CR-F3-LAY-KEQP-02-002
34,R/S轴,北中区,DCC-C,2.85,1.80,左,,8,X-HLP3-CR-F3-LAY-KEQP-02-002
35,F/G轴,南区,DCC-C,2.40,1.20,右,,6,X-HLP3-CR-F3-LAY-KEQP-03-002
36,G/H轴,南中区,DCC-7,2.85,2.30,右,,14,X-HLP3-CR-F3-LAY-KEQP-02-002
37,G/H轴,南中区,DCC-7,2.85,1.80,右,,5,X-HLP3-CR-F3-LAY-KEQP-02-002
38,G/H轴,南中区,DCC-7,2.85,2.60,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
39,G/H轴,南中区,DCC-7,2.40,1.20,右,,4,X-HLP3-CR-F3-LAY-KEQP-03-002
40,A/B轴,南区,DCC-28,2.85,1.80,,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
41,M/N轴,北中区,DCC-28,2.85,1.80,,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
42,N/P轴,北中区,DCC-28,2.85,1.80,,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
43,P/Q轴,北中区,DCC-28,2.85,1.80,,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
44,X/Y轴,北区,DCC-28,2.85,1.80,,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
45,D/E轴,南区,DCC-4-1,3.60,0.50,,,16,X-HLP3-CR-B3-LAY-KEQP-04-001
46,A/B轴,南区,DCC-4-3,2.85,1.80,,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
47,A/B轴,南区,DCC-4-3,2.85,1.80,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
48,X/Y轴,北区,DCC-1-3,2.85,2.60,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
49,R/S轴,北中区,DCC-1-2,2.40,1.20,,,4,X-HLP3-CR-F3-LAY-KEQP-03-002
50,K/L轴,南中区,DCC-1-3,2.40,1.20,右,,2,X-HLP3-CR-F3-LAY-KEQP-03-002
51,B/C轴,南区,DCC-4-2,2.37,0.77,,,10,X-HLP3-CR-B3-LAY-KEQP-04-001
52,C/D轴,南区,DCC-4-2,2.37,0.96,,,5,X-HLP3-CR-B3-LAY-KEQP-04-001
53,C/D轴,南区,DCC-4-2,2.37,0.77,,,5,X-HLP3-CR-B3-LAY-KEQP-04-001
54,D/E轴,南区,DCC-4-1,2.37,0.96,,,8,X-HLP3-CR-B3-LAY-KEQP-04-001
55,G/H轴,南中区,DCC-1-1,2.37,0.77,左,,1,X-HLP3-CR-F3-LAY-KEQP-01-002
56,D/E轴,南区,DCC-2365,3.60,0.50,,,3,X-HLP3-CR-B3-LAY-KEQP-04-001
57,C/D轴,南区,DCC-2365,2.37,0.96,,,1,X-HLP3-CR-B3-LAY-KEQP-04-001
58,D/E轴,南区,DCC-2365,2.37,0.96,,,1,X-HLP3-CR-B3-LAY-KEQP-04-001
59,K/L轴,南中区,DCC-2400,2.40,1.20,,,6,X-HLP3-CR-F3-LAY-KEQP-03-002
60,S/T轴,北中区,DCC-2400,2.40,1.20,,,4,X-HLP3-CR-F3-LAY-KEQP-03-002
61,T/U轴,北中区,DCC-2400,2.40,1.20,,,8,X-HLP3-CR-F3-LAY-KEQP-03-002
62,U/V轴,北中区,DCC-2400,2.40,1.20,,,8,X-HLP3-CR-F3-LAY-KEQP-03-002

二、DCC支架
序号,轴位,区域,编号,宽度/m,高度/m,左右接,安装方式,数量/台,来源图纸
63,A/B轴,南区,DCC-F,3.50,2.30,左,,16,X-HLP3-CR-F3-LAY-KEQP-02-002
64,X/Y轴,北区,DCC-F,3.50,2.30,左,,27,X-HLP3-CR-F3-LAY-KEQP-02-002
65,A/B轴,南区,DCC-F,3.50,2.30,右,,13,X-HLP3-CR-F3-LAY-KEQP-02-002
66,X/Y轴,北区,DCC-F,1.20,2.20,,,17,X-HLP3-CR-F3-LAY-KEQP-02-002
67,A/B轴,南区,DCC-F,1.20,2.20,,,23,X-HLP3-CR-F3-LAY-KEQP-02-002
68,R/S轴,北中区,DCC-E,2.85,1.80,右,,6,X-HLP3-CR-F3-LAY-KEQP-02-002
69,F/G轴,南区,DCC-E,2.85,1.80,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
70,G/H轴,南中区,DCC-E,2.85,1.80,右,,6,X-HLP3-CR-F3-LAY-KEQP-02-002
71,Q/R轴,北中区,DCC-E,2.85,1.80,右,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
72,F/G轴,南区,DCC-E,2.85,2.60,右,,8,X-HLP3-CR-F3-LAY-KEQP-02-002
73,R/S轴,北中区,DCC-E,2.85,2.60,右,,36,X-HLP3-CR-F3-LAY-KEQP-02-002
74,G/H轴,南中区,DCC-E,2.85,2.60,右,,14,X-HLP3-CR-F3-LAY-KEQP-02-002
75,Q/R轴,北中区,DCC-E,2.85,2.60,右,,22,X-HLP3-CR-F3-LAY-KEQP-02-002
76,F/G轴,南区,DCC-E,2.85,2.60,左,,6,X-HLP3-CR-F3-LAY-KEQP-02-002
77,F/G轴,南区,DCC-E,2.85,2.30,右,,10,X-HLP3-CR-F3-LAY-KEQP-02-002
78,R/S轴,北中区,DCC-E,2.85,2.30,右,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
79,F/G轴,南区,DCC-D,2.85,2.30,右,,50,X-HLP3-CR-F3-LAY-KEQP-02-002
80,R/S轴,北中区,DCC-D,2.85,2.30,右,,44,X-HLP3-CR-F3-LAY-KEQP-02-002
81,G/H轴,南中区,DCC-D,2.85,2.30,右,,13,X-HLP3-CR-F3-LAY-KEQP-02-002
82,F/G轴,南区,DCC-D,2.85,2.30,左,,6,X-HLP3-CR-F3-LAY-KEQP-02-002
83,Q/R轴,北中区,DCC-D,2.85,2.30,左,,4,X-HLP3-CR-F3-LAY-KEQP-02-002
84,G/H轴,南中区,DCC-D,2.85,2.30,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
85,F/G轴,南区,DCC-D,2.85,2.60,左,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
86,F/G轴,南区,DCC-D,2.85,1.80,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
87,R/S轴,北中区,DCC-D,2.00,1.80,右,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
88,R/S轴,北中区,DCC-C,2.85,1.80,右,,39,X-HLP3-CR-F3-LAY-KEQP-02-002
89,G/H轴,南中区,DCC-C,2.85,1.80,右,,12,X-HLP3-CR-F3-LAY-KEQP-02-002
90,Q/R轴,北中区,DCC-C,2.85,1.80,右,,18,X-HLP3-CR-F3-LAY-KEQP-02-002
91,F/G轴,南区,DCC-C,2.85,1.80,右,,14,X-HLP3-CR-F3-LAY-KEQP-02-002
92,G/H轴,南中区,DCC-C,2.85,2.60,右,,4,X-HLP3-CR-F3-LAY-KEQP-02-002
93,R/S轴,北中区,DCC-C,2.85,2.60,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
94,F/G轴,南区,DCC-C,2.85,2.60,右,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
95,G/H轴,南中区,DCC-C,2.85,2.30,右,,4,X-HLP3-CR-F3-LAY-KEQP-02-002
96,F/G轴,南区,DCC-C,2.85,2.30,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
97,F/G轴,南区,DCC-C,2.85,1.80,左,,14,X-HLP3-CR-F3-LAY-KEQP-02-002
98,G/H轴,南中区,DCC-C,2.85,1.80,左,,4,X-HLP3-CR-F3-LAY-KEQP-02-002
99,R/S轴,北中区,DCC-C,2.85,1.80,左,,6,X-HLP3-CR-F3-LAY-KEQP-02-002
100,Q/R轴,北中区,DCC-C,2.00,2.60,右,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
101,R/S轴,北中区,DCC-C,2.00,1.80,右,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
102,R/S轴,北中区,DCC-B,2.85,1.80,右,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
103,G/H轴,南中区,DCC-B,2.85,2.30,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
104,F/G轴,南区,DCC-B,2.00,2.30,右,,10,X-HLP3-CR-F3-LAY-KEQP-02-002
105,Q/R轴,北中区,DCC-B,2.00,2.30,右,,6,X-HLP3-CR-F3-LAY-KEQP-02-002
106,G/H轴,南中区,DCC-B,2.00,2.30,右,,4,X-HLP3-CR-F3-LAY-KEQP-02-002
107,F/G轴,南区,DCC-B,2.00,2.30,左,,4,X-HLP3-CR-F3-LAY-KEQP-02-002
108,G/H轴,南中区,DCC-B,2.00,2.30,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
109,R/S轴,北中区,DCC-B,2.00,2.30,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
110,G/H轴,南中区,DCC-7,2.85,2.30,右,,22,X-HLP3-CR-F3-LAY-KEQP-02-002
111,Q/R轴,北中区,DCC-7,2.85,2.30,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
112,Q/R轴,北中区,DCC-7,2.85,2.30,左,,24,X-HLP3-CR-F3-LAY-KEQP-02-002
113,G/H轴,南中区,DCC-7,2.85,2.60,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
114,Q/R轴,北中区,DCC-7,2.00,2.30,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
115,G/H轴,南中区,DCC-7,2.00,2.30,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
116,G/H轴,南中区,DCC-6,2.85,2.30,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
117,Q/R轴,北中区,DCC-6,2.85,2.30,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
118,G/H轴,南中区,DCC-6,2.85,1.80,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
119,Q/R轴,北中区,DCC-6,2.00,2.30,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
120,G/H轴,南中区,DCC-6,2.00,2.30,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
121,Q/R轴,北中区,DCC-5,2.00,1.80,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
122,G/H轴,南中区,DCC-J,2.00,2.60,右,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
123,G/H轴,南中区,DCC-1-4,2.85,2.30,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
124,F/G轴,南区,DCC-1-3,2.40,1.30,右,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
125,G/H轴,南中区,DCC-1-1,2.37,0.77,左,,2,X-HLP3-CR-F3-LAY-KEQP-02-002

三、门
序号,轴位,区域,类别,名称,规格,数量/樘,来源图纸
126,,,门,泄爆门 - TXBM1530_A_-2590355-LAY-1F-1_500-A,3500x2300(左) DCC-F,15,X-HLP3-AR-F3-LAY-01-001
127,,,门,单扇平开门1 - CCB1221-3601983-LAY-1F-1_500-A,,9,X-HLP3-AR-F3-LAY-01-001
128,,,门,单扇平开门1 - CCB1221-3602038-LAY-1F-1_500-A,,8,X-HLP3-AR-F3-LAY-01-001
129,,,门,MD1-1222,MD 1200x2200 DCC-F,8,X-HLP3-CR-F3-LAY-KEQP-02-002
130,,,门,双扇平开防火门_带观察窗 - FM甲1523-4642620-LAY-1F-1_500-A,,6,X-HLP3-AR-F3-LAY-01-001
131,,,门,MD1-1222,MD 1200x2200 DCC-F*2,6,X-HLP3-CR-F3-LAY-KEQP-02-002
132,,,门,MD2-1022,1000x2200 2850x2300(右) DCC-D*2,6,X-HLP3-CR-F3-LAY-KEQP-02-002
133,,,门,单开门 1000X2000,1000x2000 2400x1300(右) DCC-1-3,6,"X-HLP3-CR-F3-LAY-KPART-01-002, X-HLP3-CR-F3-LAY-KPART-03-002"
134,,,门,单开门 1000X2000,1000x2000,6,X-HLP3-CR-F3-LAY-KPART-03-002
135,,,门,双扇平开门-角度可调 - FM甲2427_160__-4689979-LAY-1F-1_500-A,,5,X-HLP3-AR-F3-LAY-01-001
