
一、DCC通风设备
136,,,门,单扇平开防火门_带观察窗 - FM甲1123-4703356-LAY-2F-1_500-A,,5,X-HLP3-AR-F3-LAY-02-001
137,,,门,MD2-1022,1000x2200 2850x1800(右) DCC-C*2,5,X-HLP3-CR-F3-LAY-KEQP-02-002
138,,,门,MD2-1022,1000x2200 2850x1800(左) DCC-C*2,5,X-HLP3-CR-F3-LAY-KEQP-02-002
139,,,门,单扇平开防火门_带观察窗 - FM甲1123-4703325-LAY-1F-1_500-A,3500x2300(左) DCC-F,4,X-HLP3-AR-F3-LAY-01-001
140,,,门,双扇平开防火门_带观察窗 - FM甲1223-4642740-LAY-1F-1_500-A,2000*2300(右) DCC-B,4,X-HLP3-AR-F3-LAY-01-001
141,,,门,单扇平开防火门_带观察窗 - KBM1123-4703538-LAY-1F-1_500-A,3500x2300(右) DCC-F,4,X-HLP3-AR-F3-LAY-01-001
142,,,门,单扇平开门1 - CCB1221-3601981-LAY-1F-1_500-A,,3,X-HLP3-AR-F3-LAY-01-001
143,,,门,双扇平开外门_带观察窗 - GM1530_A_-4335688-LAY-1F-1_500-A,,3,X-HLP3-AR-F3-LAY-01-001
144,,,门,单扇平开防火门_带观察窗 - FM甲1123-4703391-LAY-1F-1_500-A,,3,X-HLP3-AR-F3-LAY-01-001
145,,,门,双扇平开防火门_带观察窗 - FM甲2430-4642638-LAY-1F-1_500-A,,3,X-HLP3-AR-F3-LAY-01-001
146,,,门,双扇平开门-角度可调 - FM甲2427_160__-4689997-LAY-1F-1_500-A,,3,X-HLP3-AR-F3-LAY-01-001
147,,,门,单扇平开防火门_带观察窗 - FM甲1123-4703327-LAY-1F-1_500-A,,3,X-HLP3-AR-F3-LAY-01-001
148,,,门,双扇平开外门_带观察窗 - TFDM1530_A_-4566159-LAY-1F-1_500-A,,3,X-HLP3-AR-F3-LAY-01-001
149,,,门,双扇平开门-角度可调 - FM甲2427_160__-4636703-LAY-2F-1_500-A,,3,X-HLP3-AR-F3-LAY-02-001
150,,,门,单扇平开防火门_带观察窗 - FM甲1123-4703329-LAY-2F-1_500-A,,3,X-HLP3-AR-F3-LAY-02-001
151,,,门,单扇平开防火门_带观察窗 - GM1123-4965399-LAY-2F-1_500-A,,3,X-HLP3-AR-F3-LAY-02-001
152,,,门,单扇平开防火门_带观察窗 - FM乙1123-4703410-LAY-4F-1_500-A,,3,X-HLP3-AR-F3-LAY-04-001
153,,,门,单扇平开防火门_带观察窗 - FM甲1123-4703356-LAY-4F-1_500-A,,3,X-HLP3-AR-F3-LAY-04-001
154,,,门,栅栏门 - AM1030-V68-LAY-1F-1_500-A,3500x2300(左) DCC-F,3,X-HLP3-AR-F3-LAY-01-001
155,,,门,单扇平开防火门_带观察窗 - FM甲1123-4703327-LAY-1F-1_500-A,2850x2300(右) DCC-D,3,"X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-02-001"
156,,,门,单扇平开防火门_带观察窗 - FM甲1123-4703329-LAY-1F-1_500-A,2850x2300(右) DCC-D*2,3,"X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-02-001"
157,,,门,单扇平开防火门_带观察窗 - FM甲1123-4703327-LAY-1F-1_500-A,2850x2300(右) DCC-D*2,3,"X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-02-001"
158,,,门,双扇平开防火门_带观察窗 - FM甲1223-4642970-LAY-1F-1_500-A,2850x2300(右) DCC-D,3,X-HLP3-AR-F3-LAY-01-001
159,,,门,双扇平开防火门_带观察窗 - FM甲2530-4642848-LAY-1F-1_500-A,2850x2300(右) DCC-D*2,3,X-HLP3-AR-F3-LAY-01-001
160,,,门,双扇平开防火门_带观察窗 - FM甲2530-4642848-LAY-1F-1_500-A,2850x2300(右) DCC-D,3,X-HLP3-AR-F3-LAY-01-001
161,,,门,双扇平开防火门_带观察窗 - FM甲3030-4643016-LAY-1F-1_500-A,2850x1800(右) DCC-C*2,3,X-HLP3-AR-F3-LAY-01-001
162,,,门,双扇平开防火门_带观察窗 - FM甲2530-4642848-LAY-1F-1_500-A,2850x1800(右) DCC-C*2,3,X-HLP3-AR-F3-LAY-01-001
163,,,门,双扇平开防火门_带观察窗 - FM甲1223-4642656-LAY-1F-1_500-A,2850x1800(右) DCC-C*2,3,X-HLP3-AR-F3-LAY-01-001
164,,,门,泄爆门 - TXBM4042_A_-4025048-LAY-1F-1_500-A,3500x2300(右) DCC-F,3,X-HLP3-AR-F3-LAY-01-001
165,,,门,栅栏门 - AM1030-V69-LAY-1F-1_500-A,3500x2300(右) DCC-F*2,3,X-HLP3-AR-F3-LAY-01-001
166,,,门,1523,1500x2300,3,X-HLP3-CR-F3-LAY-KPART-04-001
167,,,门,双扇平开防火门_带观察窗 - FM甲1523-1158586-4F,3500x2300(左) DCC-F,2,X-HLP3-AR-B3-LAY-04-001
168,,,门,双扇平开防火门_带观察窗 - FM甲1523_3H_-993714-4F,2365*965,2,X-HLP3-AR-B3-LAY-04-001
169,,,门,电梯门_客梯 - 20T货梯-4055739-LAY-1F-1_500-A,,2,"X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-02-001, X-HLP3-AR-F3-LAY-04-001"
170,,,门,双扇平开防火门_带观察窗 - FM乙1523-4643247-LAY-1F-1_500-A,,2,X-HLP3-AR-F3-LAY-01-001
171,,,门,门-上方带亮子 - GM1530_C_-4887983-LAY-1F-1_500-A,,2,X-HLP3-AR-F3-LAY-01-001
172,,,门,双扇平开防火门_带观察窗 - KBM1824-4644501-LAY-1F-1_500-A,,2,X-HLP3-AR-F3-LAY-01-001
173,,,门,单扇平开防火门_带观察窗 - FM甲1123-4703358-LAY-1F-1_500-A,,2,X-HLP3-AR-F3-LAY-01-001
174,,,门,双扇平开防火门_带观察窗 - FM甲2530-4644539-LAY-1F-1_500-A,,2,X-HLP3-AR-F3-LAY-01-001
175,,,门,双扇平开防火门_带观察窗 - FM甲3030-4643016-LAY-1F-1_500-A,,2,X-HLP3-AR-F3-LAY-01-001
176,,,门,单扇平开防火门_带观察窗 - FM甲1123-4703356-LAY-1F-1_500-A,,2,X-HLP3-AR-F3-LAY-01-001
177,,,门,单扇平开门1 - CCB1221-3602027-LAY-1F-1_500-A,,2,X-HLP3-AR-F3-LAY-01-001
178,,,门,单扇平开门1 - CCB1421-3684694-LAY-1F-1_500-A,,2,X-HLP3-AR-F3-LAY-01-001
179,,,门,双扇平开防火门_带观察窗 - FM甲2530-4642848-LAY-1F-1_500-A,,2,X-HLP3-AR-F3-LAY-01-001
180,,,门,双扇平开防火门_带观察窗 - FM甲1530-4642602-LAY-1F-1_500-A,,2,X-HLP3-AR-F3-LAY-01-001
181,,,门,双扇平开防火门_带观察窗 - FM甲1223-4642740-LAY-1F-1_500-A,,2,X-HLP3-AR-F3-LAY-01-001
182,,,门,电梯门_客梯 - 20T货梯-4055783-LAY-1F-1_500-A,,2,X-HLP3-AR-F3-LAY-01-001
183,,,门,单扇平开防火门_带观察窗 - FM甲1123-4715513-LAY-2F-1_500-A,,2,X-HLP3-AR-F3-LAY-02-001
184,,,门,单扇平开防火门_带观察窗 - FM甲1123-4703327-LAY-2F-1_500-A,,2,X-HLP3-AR-F3-LAY-02-001
185,,,门,双扇平开防火门_带观察窗 - FM甲1223-4642656-LAY-2F-1_500-A,,2,X-HLP3-AR-F3-LAY-02-001
186,,,门,双扇平开防火门_带观察窗 - FM甲1223-4642740-LAY-2F-1_500-A,,2,X-HLP3-AR-F3-LAY-02-001
187,,,门,双扇平开防火门_带观察窗 - KBM2427-4644361-LAY-2F-1_500-A,,2,X-HLP3-AR-F3-LAY-02-001
188,,,门,单扇平开防火门_带观察窗 - FM甲0821-4703376-LAY-2F-1_500-A,,2,X-HLP3-AR-F3-LAY-02-001
189,,,门,单扇平开防火门_带观察窗 - GM1123-4965417-LAY-2F-1_500-A,,2,X-HLP3-AR-F3-LAY-02-001
190,,,门,双扇平开防火门_带观察窗 - FM甲1530-4642602-LAY-4F-1_500-A,,2,X-HLP3-AR-F3-LAY-04-001
191,,,门,双扇平开门-角度可调 - FM甲2436_160__-4636667-LAY-4F-1_500-A,,2,X-HLP3-AR-F3-LAY-04-001
192,,,门,双扇平开防火门_带观察窗 - FM甲1223-4642656-LAY-4F-1_500-A,,2,X-HLP3-AR-F3-LAY-04-001
193,,,门,双扇平开防火门_带观察窗 - FM甲1523-4642620-LAY-1F-1_500-A,3500x2300(左) DCC-F,2,X-HLP3-AR-F3-LAY-01-001
194,,,门,双扇平开外门_带观察窗 - GM2430_A_-3857367-LAY-1F-1_500-A,3500x2300(左) DCC-F,2,X-HLP3-AR-F3-LAY-01-001
195,,,门,双扇平开外门_带观察窗 - FM甲3030_A_-4207277-LAY-1F-1_500-A,3500x2300(左) DCC-F,2,X-HLP3-AR-F3-LAY-01-001
196,,,门,双扇平开外门_带观察窗 - FM甲3030_A_-4207425-LAY-1F-1_500-A,3500x2300(左) DCC-F,2,X-HLP3-AR-F3-LAY-01-001
197,,,门,双扇平开外门_带观察窗 - GM1530_A_-4118818-LAY-1F-1_500-A,3500x2300(左) DCC-F,2,X-HLP3-AR-F3-LAY-01-001
198,,,门,双扇平开外门_带观察窗 - GM2430_A_-3863862-LAY-1F-1_500-A,3500x2300(左) DCC-F,2,X-HLP3-AR-F3-LAY-01-001
199,,,门,双扇平开外门_带观察窗 - FM甲1530_A_-4127258-LAY-1F-1_500-A,3500x2300(左) DCC-F,2,X-HLP3-AR-F3-LAY-01-001
200,,,门,泄爆门 - TXBM1530_A_-4574954-LAY-1F-1_500-A,3500x2300(左) DCC-F*2,2,X-HLP3-AR-F3-LAY-01-001
201,,,门,单扇平开防火门_带观察窗 - QM0921-4742574-LAY-2F-1_500-A,3500x2300(左) DCC-F,2,X-HLP3-AR-F3-LAY-02-001
202,,,门,双扇平开防火门_带观察窗 - FM甲2530-4642914-LAY-1F-1_500-A,2850x2300(右) DCC-D*2,2,X-HLP3-AR-F3-LAY-01-001
203,,,门,双扇平开防火门_带观察窗 - FM甲2530_常开_-4643217-LAY-1F-1_500-A,2850x2300(右) DCC-D,2,X-HLP3-AR-F3-LAY-01-001
204,,,门,单扇平开防火门_带观察窗 - FM乙1123-V3-LAY-4F-1_500-A,2850x2300(右) DCC-D*2,2,X-HLP3-AR-F3-LAY-04-001
205,,,门,双扇平开防火门_带观察窗 - QM1523-4721372-LAY-4F-1_500-A,2850x2300(右) DCC-D,2,X-HLP3-AR-F3-LAY-04-001
206,,,门,双扇平开防火门_带观察窗 - FM甲1830-4643417-LAY-1F-1_500-A,2850x1800(右) DCC-C*2,2,X-HLP3-AR-F3-LAY-01-001
207,,,门,单扇平开防火门_带观察窗 - FM甲1123-4703358-LAY-1F-1_500-A,2850x1800(右) DCC-C*2,2,"X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-02-001"
208,,,门,单扇平开防火门_带观察窗 - FM甲1123-4703327-LAY-1F-1_500-A,2850x1800(右) DCC-C*2,2,X-HLP3-AR-F3-LAY-01-001
209,,,门,双扇平开防火门_带观察窗 - FM甲1223-4642656-LAY-2F-1_500-A,2850x1800(右) DCC-C*2,2,X-HLP3-AR-F3-LAY-02-001
210,,,门,双扇平开防火门_带观察窗 - FM甲1223-4644483-LAY-1F-1_500-A,2850x1800(左) DCC-C*2,2,X-HLP3-AR-F3-LAY-01-001
211,,,门,双扇平开防火门_带观察窗 - FM甲2530-4644473-LAY-1F-1_500-A,2850x1800(左) DCC-C*2,2,X-HLP3-AR-F3-LAY-01-001
212,,,门,双扇平开防火门_带观察窗 - FM甲1223-4642656-LAY-2F-1_500-A,2850x1800(左) DCC-C*2,2,X-HLP3-AR-F3-LAY-02-001
213,,,门,双扇平开防火门_带观察窗 - FM甲2030-4642932-LAY-1F-1_500-A,2000*2300(左) DCC-B,2,X-HLP3-AR-F3-LAY-01-001
