序号,来源图纸,类别,构件名称,规格,编号,轴位,区域,宽度/m,高度/m,左右接,X坐标,Y坐标,图层
1,X-HLP3-AR-B3-LAY-04-001,单扇防火门,单扇平开防火门_带观察窗 - FM乙1123-664855-4F,3500x2300(左) DCC-F,DCC-F,A/B轴,南区,3.50,2.30,左,13500.0,3300.0,A-DOOR
2,X-HLP3-AR-B3-LAY-04-001,单扇防火门,单扇平开防火门_带观察窗 - FM乙1123-1076157-4F,3500x2300(左) DCC-F,DCC-F,A/B轴,南区,3.50,2.30,左,44100.0,3300.0,A-DOOR
3,X-HLP3-AR-B3-LAY-04-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1523_3H_-993714-4F,2365*965,,E/F轴,南区,2.37,0.96,,23650.0,30350.0,A-DOOR
4,X-HLP3-AR-B3-LAY-04-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1523_3H_-993714-4F,2365*965,,E/F轴,南区,2.37,0.96,,27750.0,30350.0,A-DOOR
5,X-HLP3-AR-B3-LAY-04-001,卷帘门,墙外卷帘门 - FJLM4830_3H常开_-1003825-4F,1800x1000,,E/F轴,南区,1.80,1.00,,38400.0,30350.0,A-DOOR
6,X-HLP3-AR-B3-LAY-04-001,爬梯,钢爬梯 - 标准-751291-4F,3500x2300(左) DCC-F,DCC-F,A轴,南区,3.50,2.30,左,14300.0,840.0,Q-SPCQ
7,X-HLP3-AR-B3-LAY-04-001,卷帘门,墙外卷帘门 - FJLM4830_3H_-847428-4F,3500x2300(左) DCC-F,DCC-F,A轴,南区,3.50,2.30,左,3850.0,-250.0,A-DOOR
8,X-HLP3-AR-B3-LAY-04-001,楼板洞口,楼板洞口 - 楼板洞口-翻边100mm-951297-4F,3500x2300(左) DCC-F,DCC-F,A轴,南区,3.50,2.30,左,41950.0,400.0,A-GENM
9,X-HLP3-AR-B3-LAY-04-001,楼板洞口,楼板洞口 - 楼板洞口-翻边100mm-1003749-4F,3500x2300(左) DCC-F,DCC-F,A/B轴,南区,3.50,2.30,左,38850.0,2950.0,A-GENM
10,X-HLP3-AR-B3-LAY-04-001,楼板洞口,楼板洞口 - 楼板洞口-无翻边-1161634-4F,3500x2300(左) DCC-F,DCC-F,A轴,南区,3.50,2.30,左,14850.0,400.0,A-GENM
11,X-HLP3-AR-B3-LAY-04-001,楼板洞口,楼板洞口 - 楼板洞口-无翻边-1161699-4F,3500x2300(左) DCC-F,DCC-F,A轴,南区,3.50,2.30,左,35100.0,400.0,A-GENM
12,X-HLP3-AR-B3-LAY-04-001,挡烟垂壁,挡烟垂壁1 - 挡烟垂壁-1009375-4F,2365*965 DCC,DCC,C/D轴,南区,2.37,0.96,,21600.0,18345.98,M-EQPM
13,X-HLP3-AR-B3-LAY-04-001,挡烟垂壁,挡烟垂壁1 - 挡烟垂壁-1170658-4F,3500x2300(左) DCC-F*2,DCC-F,A轴,南区,3.50,2.30,左,21600.0,600.0,M-EQPM
14,X-HLP3-AR-B3-LAY-04-001,楼板洞口,楼板洞口 - 楼板洞口-无翻边-1077638-4F,1800x1000,,D/E轴,南区,1.80,1.00,,45800.0,25750.0,A-GENM
15,X-HLP3-AR-B3-LAY-04-001,楼板洞口,楼板洞口 - 楼板洞口-无翻边-1077639-4F,1800x1000,,D/E轴,南区,1.80,1.00,,48200.0,25750.0,A-GENM
16,X-HLP3-AR-B3-LAY-04-001,墙洞口,矩形墙洞-A - 矩形墙洞-A-1161879-4F,3500x2300(左) DCC-F,DCC-F,A/B轴,南区,3.50,2.30,左,35000.0,1925.0,A-GENM
17,X-HLP3-AR-B3-LAY-04-001,墙洞口,矩形墙洞-A - 矩形墙洞-A-1162272-4F,3500x2300(左) DCC-F,DCC-F,A/B轴,南区,3.50,2.30,左,15550.0,2175.0,A-GENM
18,X-HLP3-AR-B3-LAY-04-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1523-1158586-4F,3500x2300(左) DCC-F,DCC-F,A/B轴,南区,3.50,2.30,左,41350.0,3300.0,A-DOOR
19,X-HLP3-AR-B3-LAY-04-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1523-1158586-4F,3500x2300(左) DCC-F,DCC-F,A/B轴,南区,3.50,2.30,左,37825.0,3300.0,A-DOOR
20,X-HLP3-AR-B3-LAY-04-001,幕墙竖梃/结构构件,LC1 - 4100A - LC3-1219560-4F,1800x1000,,C/D轴,南区,1.80,1.00,,50646.59,18650.0,A-GLAZ
21,X-HLP3-AR-B3-LAY-04-001,幕墙竖梃/结构构件,LC1- 4100C - LC4-1215896-4F,2365*765 DCC,DCC,B/C轴,南区,2.37,0.77,,-253.41,8850.0,A-GLAZ
22,X-HLP3-AR-B3-LAY-04-001,墙洞口,矩形墙洞-A - 矩形墙洞-A-1207370-4F,1800x1000,,D/E轴,南区,1.80,1.00,,46925.0,25650.0,A-GENM
23,X-HLP3-AR-B3-LAY-04-001,闸机,闸机-不带门 - 闸机-不带门-1250305-4F,1800x1000,,D/E轴,南区,1.80,1.00,,43043.03,28635.61,Q-SPCQ
24,X-HLP3-AR-B3-LAY-04-001,闸机,闸机-不带门 - 闸机-不带门-1250305-4F,1800x1000,,D/E轴,南区,1.80,1.00,,41443.03,28635.61,Q-SPCQ
25,X-HLP3-AR-B3-LAY-04-001,闸机,闸机-不带门 - 闸机-不带门-1250305-4F,1800x1000,,D/E轴,南区,1.80,1.00,,39843.03,28635.61,Q-SPCQ
26,X-HLP3-AR-B3-LAY-04-001,闸机,闸机-不带门 - 闸机-不带门-1250305-4F,1800x1000,,D/E轴,南区,1.80,1.00,,37443.03,28635.61,Q-SPCQ
27,X-HLP3-AR-B3-LAY-04-001,闸机,闸机-不带门 - 闸机-不带门-1250305-4F,1800x1000,,D/E轴,南区,1.80,1.00,,39043.25,28635.61,Q-SPCQ
28,X-HLP3-AR-B3-LAY-04-001,闸机,行人出入闸机_002 - 类型 1-1243603-4F,,,D/E轴,南区,,,,34807.46,28745.18,Q-SPCQ
29,X-HLP3-AR-B3-LAY-04-001,闸机,行人出入闸机_002 - 类型 1-1242597-4F,,,E/F轴,南区,,,,34807.46,30354.78,Q-SPCQ
30,X-HLP3-AR-B3-LAY-04-001,门,B3-3_dwg_X-HL-INT-E1-LAY-04$0$DOR-1800-469820-4F,2850x2300(右) DCC-D,DCC-D,E/F轴,南区,2.85,2.30,右,41250.0,34550.0,B3-3_dwg
31,X-HLP3-AR-B3-LAY-04-001,门,B3-2_dwg_X-HL-INT-E1-LAY-03$0$Cores and stairs-3F$0$DOR-2000-463768-4F,2365*965 DCC,DCC,E/F轴,南区,2.37,0.96,,6675.0,34350.0,B3-2_dwg
32,X-HLP3-AR-B3-LAY-04-001,门,B3-2_dwg_X-HL-INT-E1-LAY-03$0$Cores and stairs-3F$0$DOR-2000-463768-4F,3600X500 DCC,DCC,E/F轴,南区,3.60,0.50,,11050.0,35250.0,B3-2_dwg
33,X-HLP3-AR-B3-LAY-04-001,楼梯,下楼梯路径 - 顺砌剖面-937235-4F,3500x2300(左) DCC-F,DCC-F,A/B轴,南区,3.50,2.30,左,45555.59,1389.08,A-DETL-GENF
34,X-HLP3-AR-B3-LAY-04-001,楼梯,下楼梯路径 - 顺砌剖面-937235-4F,3500x2300(左) DCC-F,DCC-F,A/B轴,南区,3.50,2.30,左,11744.41,2209.6,A-DETL-GENF
35,X-HLP3-AR-B3-LAY-04-001,钢梁,钢_梁_工形 - M_连接-刚性-填充-39271-4F,2365*965 DCC,DCC,E/F轴,南区,2.37,0.96,,2400.0,30325.0,0
36,X-HLP3-AR-B3-LAY-04-001,钢梁,钢_梁_工形 - M_连接-刚性-填充-V1-4F,2365*965 DCC,DCC,E/F轴,南区,2.37,0.96,,2650.0,30325.0,0
37,X-HLP3-AR-B3-LAY-04-001,钢柱,钢_柱_方管 - RHS900X900X32-341526-4F,900x900 3500x2300(左) DCC-F,DCC-F,A轴,南区,0.90,0.90,左,450.0,450.0,0
38,X-HLP3-AR-B3-LAY-04-001,钢柱,钢_柱_方管 - RHS900X900X32-341526-4F,900x900 3500x2300(左) DCC-F,DCC-F,A轴,南区,0.90,0.90,左,14400.0,450.0,0
39,X-HLP3-AR-B3-LAY-04-001,钢柱,钢_柱_方管 - RHS900X900X32-V2-4F,900x900 3500x2300(左) DCC-F*2,DCC-F,A轴,南区,0.90,0.90,左,21600.0,450.0,0
40,X-HLP3-AR-B3-LAY-04-001,钢柱,钢_柱_方管 - RHS900X900X32-341526-4F,900x900 3500x2300(左) DCC-F,DCC-F,A轴,南区,0.90,0.90,左,28800.0,450.0,0
41,X-HLP3-AR-B3-LAY-04-001,钢柱,钢_柱_方管 - RHS900X900X32-341526-4F,900x900 3500x2300(左) DCC-F,DCC-F,A轴,南区,0.90,0.90,左,36000.0,450.0,0
42,X-HLP3-AR-B3-LAY-04-001,钢柱,钢_柱_方管 - RHS900X900X32-341526-4F,900x900 3500x2300(左) DCC-F,DCC-F,A轴,南区,0.90,0.90,左,43200.0,450.0,0
43,X-HLP3-AR-B3-LAY-04-001,钢柱,钢_柱_方管 - RHS900X900X32-341526-4F,900x900 3500x2300(左) DCC-F,DCC-F,A轴,南区,0.90,0.90,左,49950.0,450.0,0
44,X-HLP3-AR-B3-LAY-04-001,钢柱,钢_柱_方管 - RHS900X900X32-341526-4F,900x900 2365*965 DCC,DCC,D/E轴,南区,0.90,0.90,,450.0,23250.0,0
45,X-HLP3-AR-B3-LAY-04-001,钢柱,钢_柱_方管 - RHS900X900X32-341526-4F,900x900 2365*765 DCC,DCC,A轴,南区,0.90,0.90,,7200.0,450.0,0
46,X-HLP3-AR-B3-LAY-04-001,钢柱,钢_柱_方管 - RHS600X600X22-349043-4F,600x600 3500x2300(左) DCC-F,DCC-F,A/B轴,南区,0.60,0.60,左,7050.0,3500.0,0
47,X-HLP3-AR-B3-LAY-04-001,钢柱,钢_柱_方管 - RHS600X600X22-349043-4F,600x600 3500x2300(左) DCC-F,DCC-F,A/B轴,南区,0.60,0.60,左,14550.0,3500.0,0
48,X-HLP3-AR-B3-LAY-04-001,钢柱,钢_柱_方管 - RHS600X600X22-349043-4F,600x600 3500x2300(左) DCC-F,DCC-F,A/B轴,南区,0.60,0.60,左,43050.0,3500.0,0
49,X-HLP3-AR-B3-LAY-04-001,钢柱,钢_柱_方管 - RHS600X600X22-349043-4F,600x600 3500x2300(左) DCC-F,DCC-F,A/B轴,南区,0.60,0.60,左,50100.0,3500.0,0
50,X-HLP3-AR-B3-LAY-04-001,钢柱,钢_柱_方管 - RHS900X900X32-341526-4F,900x900 3600X500,,D/E轴,南区,0.90,0.90,,7200.0,23250.0,0
51,X-HLP3-AR-B3-LAY-04-001,钢柱,钢_柱_方管 - RHS900X900X32-341526-4F,900x900 3600X500,,D/E轴,南区,0.90,0.90,,14400.0,23250.0,0
52,X-HLP3-AR-B3-LAY-04-001,钢柱,钢_柱_方管 - RHS900X900X32-V3-4F,900x900 2365*965,,D/E轴,南区,0.90,0.90,,21600.0,23250.0,0
53,X-HLP3-AR-B3-LAY-04-001,钢柱,钢_柱_方管 - RHS900X900X32-341526-4F,900x900 2365*965,,D/E轴,南区,0.90,0.90,,28800.0,23250.0,0
54,X-HLP3-AR-B3-LAY-04-001,钢柱,钢_柱_方管 - RHS900X900X32-341526-4F,900x900 1800x1000,,D/E轴,南区,0.90,0.90,,36000.0,23250.0,0
55,X-HLP3-AR-B3-LAY-04-001,钢柱,钢_柱_方管 - RHS900X900X32-341526-4F,900x900 1800x1000,,D/E轴,南区,0.90,0.90,,43200.0,23250.0,0
56,X-HLP3-AR-B3-LAY-04-001,钢柱,钢_柱_方管 - RHS900X900X32-341526-4F,900x900 1800x1000,,D/E轴,南区,0.90,0.90,,49950.0,23250.0,0
57,X-HLP3-AR-B3-LAY-04-001,钢梁,钢_梁_工形 - BW250_9_250_14_250_14-343339-4F,3500x2300(左) DCC-F,DCC-F,A/B轴,南区,3.50,2.30,左,44795.21,2050.0,0
58,X-HLP3-AR-B3-LAY-04-001,混凝土柱,砼_柱_矩形 - 1800X1800 2-344166-4F,1800x1800 2365*965 DCC,DCC,D/E轴,南区,1.80,1.80,,450.0,23250.0,0
59,X-HLP3-AR-B3-LAY-04-001,混凝土柱,砼_柱_矩形 - 1800X1800 2-V5-4F,1800x1800 2365*765 DCC,DCC,A轴,南区,1.80,1.80,,7200.0,450.0,0
60,X-HLP3-AR-B3-LAY-04-001,混凝土柱,砼_柱_矩形 - 1800X1800 2-V4-4F,1800x1800 1800x1000,,D/E轴,南区,1.80,1.80,,49950.0,23250.0,0
61,X-HLP3-AR-B3-LAY-04-001,混凝土柱,砼_柱_矩形 - 1800X1800 2-351773-4F,1800x1800 3500x2300(左) DCC-F,DCC-F,A轴,南区,1.80,1.80,左,450.0,450.0,0
62,X-HLP3-AR-B3-LAY-04-001,混凝土柱,砼_柱_矩形 - 1800X1800 2-V6-4F,1800x1800 3500x2300(左) DCC-F,DCC-F,A轴,南区,1.80,1.80,左,14400.0,450.0,0
63,X-HLP3-AR-B3-LAY-04-001,混凝土柱,砼_柱_矩形 - 1800X1800 2-V6-4F,1800x1800 3500x2300(左) DCC-F*2,DCC-F,A轴,南区,1.80,1.80,左,21600.0,450.0,0
64,X-HLP3-AR-B3-LAY-04-001,混凝土柱,砼_柱_矩形 - 1800X1800 2-V6-4F,1800x1800 3500x2300(左) DCC-F,DCC-F,A轴,南区,1.80,1.80,左,28800.0,450.0,0
65,X-HLP3-AR-B3-LAY-04-001,混凝土柱,砼_柱_矩形 - 1800X1800 2-V6-4F,1800x1800 3500x2300(左) DCC-F,DCC-F,A轴,南区,1.80,1.80,左,43200.0,450.0,0
66,X-HLP3-AR-B3-LAY-04-001,混凝土柱,砼_柱_矩形 - 1800X1800 2-V7-4F,1800x1800 3500x2300(左) DCC-F,DCC-F,A轴,南区,1.80,1.80,左,49950.0,450.0,0
67,X-HLP3-AR-B3-LAY-04-001,混凝土柱,砼_柱_矩形 - 1800X1800 2-V6-4F,1800x1800 3500x2300(左) DCC-F,DCC-F,A轴,南区,1.80,1.80,左,36000.0,450.0,0
68,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM乙1323-4643283-LAY-1F-1_500-A,,,F/G轴,南区,,,,290450.0,39400.0,A-DOOR
69,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM乙1323-4643293-LAY-1F-1_500-A,,,S/T轴,北中区,,,,290450.0,118600.0,A-DOOR
70,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM乙1523-4643247-LAY-1F-1_500-A,,,A轴,南区,,,,251400.0,1154.6,A-DOOR
71,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1523-4642620-LAY-1F-1_500-A,,,M/N轴,北中区,,,,273600.0,84250.0,A-DOOR
72,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲2430-4643545-LAY-1F-1_500-A,,,T/U轴,北中区,,,,31050.0,126300.0,A-DOOR
73,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM乙1423-4643265-LAY-1F-1_500-A,,,A/B轴,南区,,,,251400.0,2900.0,A-DOOR
74,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1527-4643437-LAY-1F-1_500-A,,,S/T轴,北中区,,,,248550.0,121900.0,A-DOOR
75,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM乙1523-4643247-LAY-1F-1_500-A,,,A/B轴,南区,,,,253550.0,3700.0,A-DOOR
76,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1523-4642620-LAY-1F-1_500-A,,,F/G轴,南区,,,,273600.0,41100.0,A-DOOR
77,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1527-4643651-LAY-1F-1_500-A,,,A/B轴,南区,,,,251300.0,5350.0,A-DOOR
78,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲2430-4642638-LAY-1F-1_500-A,,,S/T轴,北中区,,,,190200.0,122100.0,A-DOOR
79,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - KBM1824-4644501-LAY-1F-1_500-A,,,C/D轴,南区,,,,119300.0,16150.0,A-DOOR
80,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - KBM1824-4644501-LAY-1F-1_500-A,,,C/D轴,南区,,,,122100.0,16150.0,A-DOOR
81,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1824-4642820-LAY-1F-1_500-A,,,C/D轴,南区,,,,125800.0,16150.0,A-DOOR
82,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1530-4643177-LAY-1F-1_500-A,,,A/B轴,南区,,,,256550.0,6700.0,A-DOOR
83,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲2530-4644473-LAY-1F-1_500-A,,,N/P轴,北中区,,,,108300.0,88250.0,A-DOOR
84,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲2530-4644539-LAY-1F-1_500-A,,,T/U轴,北中区,,,,170650.0,126000.0,A-DOOR
85,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1523-4642620-LAY-1F-1_500-A,,,S/T轴,北中区,,,,273600.0,120250.0,A-DOOR
86,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲3030-4643016-LAY-1F-1_500-A,,,E/F轴,南区,,,,228000.0,36300.0,A-DOOR
87,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲3030-4644617-LAY-1F-1_500-A,,,E/F轴,南区,,,,228000.0,32400.0,A-DOOR
88,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642970-LAY-1F-1_500-A,,,E/F轴,南区,,,,225800.0,34650.0,A-DOOR
89,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642868-LAY-1F-1_500-A,,,T/U轴,北中区,,,,240700.0,128450.0,A-DOOR
90,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲2430-4642638-LAY-1F-1_500-A,,,T/U轴,北中区,,,,75800.0,126000.0,A-DOOR
91,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1523-4644315-LAY-1F-1_500-A,,,V/W轴,北区,,,,268800.0,142250.0,A-DOOR
92,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1523-4642620-LAY-1F-1_500-A,,,E/F轴,南区,,,,230700.0,34250.0,A-DOOR
93,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1523-4642620-LAY-1F-1_500-A,,,C/D轴,南区,,,,189300.0,18000.0,A-DOOR
94,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1523-4642620-LAY-1F-1_500-A,,,C/D轴,南区,,,,186900.0,18000.0,A-DOOR
95,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1530-4643303-LAY-1F-1_500-A,,,T/U轴,北中区,,,,168300.0,124050.0,A-DOOR
96,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲2430-4642638-LAY-1F-1_500-A,,,T/U轴,北中区,,,,194100.0,124300.0,A-DOOR
97,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1527-4643743-LAY-1F-1_500-A,,,S/T轴,北中区,,,,250650.0,121900.0,A-DOOR
98,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲3030-4643016-LAY-1F-1_500-A,,,E/F轴,南区,,,,82000.0,32400.0,A-DOOR
99,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲2830-4644753-LAY-1F-1_500-A,,,T/U轴,北中区,,,,19600.0,129900.0,A-DOOR
100,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲2530-4642848-LAY-1F-1_500-A,,,T/U轴,北中区,,,,14100.0,127050.0,A-DOOR
101,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642656-LAY-1F-1_500-A,,,T/U轴,北中区,,,,239400.0,125700.0,A-DOOR
102,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1523-4644763-LAY-1F-1_500-A,,,U/V轴,北中区,,,,63450.0,136500.0,A-DOOR
103,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1523-4643197-LAY-1F-1_500-A,,,U/V轴,北中区,,,,65100.0,134950.0,A-DOOR
104,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1530-4643061-LAY-1F-1_500-A,,,C/D轴,南区,,,,65100.0,20250.0,A-DOOR
105,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1530-4644773-LAY-1F-1_500-A,,,C/D轴,南区,,,,62000.0,20250.0,A-DOOR
106,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1530-4642602-LAY-1F-1_500-A,,,E/F轴,南区,,,,181550.0,33400.0,A-DOOR
107,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1530-4642602-LAY-1F-1_500-A,,,E/F轴,南区,,,,183400.0,34850.0,A-DOOR
108,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲3030-4644783-LAY-1F-1_500-A,,,E/F轴,南区,,,,162500.0,32400.0,A-DOOR
109,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1523-4644627-LAY-1F-1_500-A,,,T/U轴,北中区,,,,190200.0,126000.0,A-DOOR
110,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642740-LAY-1F-1_500-A,,,D/E轴,南区,,,,63600.0,28800.0,A-DOOR
111,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1530-4644821-LAY-1F-1_500-A,,,D/E轴,南区,,,,63450.0,26300.0,A-DOOR
112,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1530-4643071-LAY-1F-1_500-A,,,D/E轴,南区,,,,65100.0,27450.0,A-DOOR
113,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲2530-4644539-LAY-1F-1_500-A,,,E/F轴,南区,,,,36000.0,32400.0,A-DOOR
114,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲2530-4642848-LAY-1F-1_500-A,,,D/E轴,南区,,,,33600.0,28800.0,A-DOOR
115,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642740-LAY-1F-1_500-A,,,E/F轴,南区,,,,31500.0,32400.0,A-DOOR
116,X-HLP3-AR-F3-LAY-01-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲2830-4643034-LAY-1F-1_500-A,,,T/U轴,北中区,,,,21300.0,126000.0,A-DOOR
117,X-HLP3-AR-F3-LAY-02-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1523-4965112-LAY-2F-1_500-A,,,D/E轴,南区,,,,273600.0,27100.0,A-DOOR
118,X-HLP3-AR-F3-LAY-02-001,双扇防火门,双扇平开防火门_带观察窗 - KBM2427-4644587-LAY-2F-1_500-A,,,W/X轴,北区,,,,269450.0,146650.0,A-DOOR
119,X-HLP3-AR-F3-LAY-02-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642656-LAY-2F-1_500-A,,,X/Y轴,北区,,,,256400.0,154700.0,A-DOOR
120,X-HLP3-AR-F3-LAY-02-001,双扇防火门,双扇平开防火门_带观察窗 - KBM1223-4795271-LAY-2F-1_500-A,,,X/Y轴,北区,,,,261300.0,154700.0,A-DOOR
121,X-HLP3-AR-F3-LAY-02-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1523-4643333-LAY-2F-1_500-A,,,X/Y轴,北区,,,,252400.0,152950.0,A-DOOR
122,X-HLP3-AR-F3-LAY-02-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642740-LAY-2F-1_500-A,,,F/G轴,南区,,,,277100.0,39400.0,A-DOOR
123,X-HLP3-AR-F3-LAY-02-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642740-LAY-2F-1_500-A,,,F/G轴,南区,,,,278900.0,39400.0,A-DOOR
124,X-HLP3-AR-F3-LAY-02-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4643343-LAY-2F-1_500-A,,,A/B轴,南区,,,,252100.0,5600.0,A-DOOR
125,X-HLP3-AR-F3-LAY-02-001,双扇防火门,双扇平开防火门_带观察窗 - KBM2427-4644361-LAY-2F-1_500-A,,,W/X轴,北区,,,,264375.0,146650.0,A-DOOR
126,X-HLP3-AR-F3-LAY-02-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642656-LAY-2F-1_500-A,,,X/Y轴,北区,,,,259050.0,154700.0,A-DOOR
127,X-HLP3-AR-F3-LAY-02-001,双扇防火门,双扇平开防火门_带观察窗 - KBM1223-4644379-LAY-2F-1_500-A,,,X/Y轴,北区,,,,264350.0,155700.0,A-DOOR
128,X-HLP3-AR-F3-LAY-02-001,双扇防火门,双扇平开防火门_带观察窗 - KBM2427-4644361-LAY-2F-1_500-A,,,X/Y轴,北区,,,,264375.0,153300.0,A-DOOR
129,X-HLP3-AR-F3-LAY-02-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1523_3H_-4964460-LAY-2F-1_500-A,,,D/E轴,南区,,,,292725.0,27100.0,A-DOOR
130,X-HLP3-AR-F3-LAY-02-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1523-4964982-LAY-2F-1_500-A,,,D/E轴,南区,,,,289900.0,27100.0,A-DOOR
131,X-HLP3-AR-F3-LAY-04-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642740-LAY-4F-1_500-A,,,L/M轴,北中区,,,,288300.0,76200.0,A-DOOR
132,X-HLP3-AR-F3-LAY-04-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4643669-LAY-4F-1_500-A,,,L/M轴,北中区,,,,290100.0,76200.0,A-DOOR
133,X-HLP3-AR-F3-LAY-04-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1530-4642602-LAY-4F-1_500-A,,,D/E轴,南区,,,,285300.0,25450.0,A-DOOR
134,X-HLP3-AR-F3-LAY-04-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲2225-4670530-LAY-4F-1_500-A,,,A/B轴,南区,,,,254800.0,5500.0,A-DOOR
135,X-HLP3-AR-F3-LAY-04-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642656-LAY-4F-1_500-A,,,X/Y轴,北区,,,,258300.0,154700.0,A-DOOR
